(Почти) Пять Докторов,,,
1 сезон (1963-1964).txt,Первый Доктор,Барбара Райт,
1 сезон (2005).txt,Девятый Доктор,Роза Тайлер Адам Митчелл Микки Смит Джек Харкнесс,Адам Митчелл
10 сезон (1972-1973).txt,Третий Доктор,Джо Грант,Мастер
10 сезон (2017).txt,Двенадцатый Доктор,Нардол Билл Поттс,
11 сезон (1973-1974).txt,Третий Доктор,Сара Джейн Смит,
11 сезон (2018).txt,Тринадцатый Доктор,,
12 сезон (1974-1975).txt,,Гарри Салливан Сара Джейн Смит,Даврос
13 сезон (1975-1976).txt,,Гарри Салливан Сара Джейн Смит,
13 сезон (2021-2022).txt,Тринадцатый Доктор,Дэн Льюис,
14 сезон (1976-1977).txt,,Лила Сара Джейн Смит,
14 сезон (2023).txt,,,
15 сезон (1977-1978).txt,,Лила,
16 сезон (1978-1979).txt,,Романа I,
17 сезон (1979-1980).txt,,Дэвид Брирли Романа I Романа II,
18 сезон (1980-1981).txt,,Адрик,
19 сезон (1982).txt,,Адрик,
2 сезон (1964-1965).txt,Первый Доктор,Барбара Райт Вики Паллистер Стивен Тейлор,
2 сезон (2006).txt,,Микки Смит,
20 сезон (1983).txt,,,Мастер
21 сезон (1984).txt,Пятый Доктор,Пери Браун,
22 сезон (1985).txt,,Пери Браун,
23 сезон (1986).txt,,Пери Браун,
24 сезон (1987).txt,Седьмой Доктор,Эйс,
2501 год.txt,,,
26 сезон (1989).txt,,Эйс,Мастер
3 сезон (1965-1966).txt,Первый Доктор,Вики Паллистер Стивен Тейлор Катарина Сара Кингдом Додо Чаплет Полли Райт Бен Джексон,
3 сезон (2007).txt,,,Мастер
3 сезон (Торчвуд).txt,,Джек Харкнесс,
4 сезон (1966-1967).txt,Первый Доктор Второй Доктор,Полли Райт Бен Джексон Виктория Уотерфилд,
4 сезон (2008).txt,,Роза Тайлер Микки Смит Марта Джонс Сара Джейн Смит Уилфред Мотт Ривер Сонг Ривер Сонг Джек Харкнесс,
42.txt,Десятый Доктор,Марта Джонс,
5 сезон (1967-1968).txt,Второй Доктор,Виктория Уотерфилд Зои Хериот,Ледяные воины
5 сезон (2010).txt,,Эми Понд Рори Уильямс Ривер Сонг Ривер Сонг,
6 сезон (1968-1969).txt,Второй Доктор,Зои Хериот,
6 сезон (2011).txt,,Эми Понд Рори Уильямс Ривер Сонг Ривер Сонг,Тишина
7 сезон (1970).txt,Третий Доктор,Лиз Шоу,
7 сезон (2012-2013).txt,Одиннадцатый Доктор,Эми Понд Рори Уильямс Ривер Сонг Клара Освальд Ривер Сонг,Великий Разум
8 сезон (1971).txt,Третий Доктор,Джо Грант,Мастер
8 сезон (2014).txt,Двенадцатый Доктор,Клара Освальд,
9 сезон (1972).txt,Третий Доктор,Джо Грант,Мастер
9 сезон (2015).txt,Двенадцатый Доктор,Клара Освальд,Даврос
AudioGO.txt,,,
Bide-a-Wee (рассказ).txt,Первый Доктор,,
Big Finish Productions.txt,Восьмой Доктор Девятый Доктор Двенадцатый Доктор,Сара Кингдом Лиз Шоу Ривер Сонг Ривер Сонг,
Marvel Comics.txt,,,
Puffin eshort.txt,,,
SS Мария-Антуанетта.txt,,,
UNIT,,,
UNIT (аудиосериал).txt,,,
«Смерть далекам!».txt,,,Далеки
Аарон Блинович.txt,,,
Абсенс (аудио история).txt,,,
Аварийный переключатель.txt,,,
Агентство Небесного Вмешательства.txt,Второй Доктор Третий Доктор Седьмой Доктор Восьмой Доктор,Романа I Романа II Эйс Джек Харкнесс,
Адвокат среди звёзд.txt,,Ривер Сонг Ривер Сонг,
Адельфи.txt,,Лиз Шоу,Мастер
Адрик.txt,Пятый Доктор,Адрик Нисса Эйс,Мастер
Алистер Гордон Летбридж-Стюарт.txt,Третий Доктор Двенадцатый Доктор,Лиз Шоу Джо Грант Гарри Салливан Ривер Сонг Ривер Сонг,Мастер
Ангелы захватывают Манхэттен.txt,Одиннадцатый Доктор,Эми Понд Рори Уильямс Ривер Сонг Ривер Сонг,Плачущие ангелы
Анджело.txt,,,
Андроиды Тары.txt,,Романа I,
Андроиды.txt,Десятый Доктор,Вики Паллистер Камелион,Тишина
Аннетт Бэдленд.txt,,,
Антивещество.txt,,,
Арахниды в Соединённом Королевстве.txt,Тринадцатый Доктор,,
Арбитанцы.txt,Первый Доктор,,
Аридианцы.txt,Первый Доктор,,
