URL,Name,Doctor,Companions,Author,Director,Producer,Data,Content
https://tardis.fandom.com/ru/wiki/%D0%A1%D0%BE%D0%B7%D0%B4%D0%B0%D1%82%D0%B5%D0%BB%D0%B8_%D0%BC%D0%B8%D1%84%D0%BE%D0%B2,"
					Создатели мифов				",Первый Доктор,Вики,Дональд Коттон,Майкл Листон-Смит,Джон Уайлс,16 октября - 6 ноября 1965,"Создатели мифов The Myth Makers Доктор Кто : 3 сезон 3 серия Доктор: Первый Доктор Спутники: Вики , Стивен Участвуют: Катарина Враги: Одиссей , Агамемнон , Кассандра Место: Земля - Троя - около 1200 до н.э. ТАРДИС Доктора Производственная информация Автор: Дональд Коттон Режиссёр: Майкл Листон-Смит Продюсер: Джон Уайлс Номер: 20 Дата выхода: 16 октября - 6 ноября 1965 Формат: 4 эпизода по 25 мин. Отрывок Доктор Кто ← Предыдущее Следующее → Миссия в неизвестное Генеральный план далеков Создатели мифов — полностью утерянная 3 серия 3 сезона сериала « Доктор Кто » , состоящая из 4 эпизодов, показанных в период с 16 октября по 6 ноября 1965 года. Исторический сюжет серии развивается в Древней Трое, где Доктор , Вики и Стивен ввязываются в события легендарной Троянской войны , описанной Гомером в поэмах «Илиада» и «Одиссея». Здесь произошло финальное появление Морин О'Брайен в роли Вики, которая решает покинуть Доктора, чтобы остаться с возлюбленным Троилом . Здесь также впервые появилась Эдриэнн Хилл в роли служанки Катарины , которая в финале серии присоединяется к Доктору и Стивену. Как и в случае с остальными сериями, все утерянные эпизоды существуют в виде реконструкций с оригинальной звуковой дорожкой (записанной фанатами во время показа по телевидению) и скриншотами. Когда ТАРДИС прибывает на равнины Малой Азии во время осады Трои, Доктор провозглашается Ахиллесом как «могучий бог Зевс» со своим храмом (ТАРДИС). Повелителя Времени доставляют в лагерь греков и ему приходиться подыгрывать им, чтобы вытащить своих спутников из этой исторической эпохи - Вики оказывается в Трое, куда жители забрали будку, а Стивен притворяется греческим воином, чтобы помочь Доктору. Чтобы проверить, на самом ли деле Доктор является Зевсом, командующий армией греков даёт ему два дня, чтобы придумать план, по которому они захватят и разрушат Трою. Стивен попадает в плен троянцев, а правитель Трои начинает подозревать, что Вики обладает сверхъестественными способностями. Доктору предстоит стать «создателем мифа», чтобы спасти своих спутников… следует добавить следует добавить следует добавить следует добавить "
https://tardis.fandom.com/ru/wiki/%D0%93%D0%B5%D0%BD%D0%B5%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D0%BF%D0%BB%D0%B0%D0%BD_%D0%B4%D0%B0%D0%BB%D0%B5%D0%BA%D0%BE%D0%B2,"
					Генеральный план далеков				",Первый Доктор,Стивен,Терри Нейшн,Дуглас Кэмфилд,Джон Уайлс,13 ноября 1965 - 29 января 1966,"Генеральный план далеков The Daleks' Master Plan Доктор Кто : 3 сезон 4 серия Доктор: Первый Доктор Спутники: Стивен , Катарина , Брет , Сара Враги: Далеки , Мавик Чен , Делегаты Заключённые, Карлтон , Дакстар , Боркар , Визианцы , Монах Место: Кембел , Десперус , Земля ( Центральный город ) и Майра - 4000 ТАРДИС Доктора Ливерпуль - 25.12. 1965 Лондон - 21 век Голливуд - 1921 Египет - 2500 до н.э. Тайгус Ледяная планета Производственная информация Автор: Терри Нейшн (эпизоды 1-5,7) Деннис Спунер (эпизоды 6,8-12) Режиссёр: Дуглас Кэмфилд Продюсер: Джон Уайлс Номер: 21 Дата выхода: 13 ноября 1965 - 29 января 1966 Формат: 12 эпизодов по 25 мин. Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Создатели мифов Резня в канун Святого Варфоломея Генеральный план далеков — частично утерянная 4 серия 3 сезона сериала « Доктор Кто » , состоящая из 12 эпизодов, показанных в период с 13 ноября 1965 по 29 января 1966 года. Из этой серии сохранились только 2, 5 и 10 эпизоды. Сюжет рассказывает о противостоянии Доктора и его спутников с далеками и лидером Солнечной системы Мавиком Ченом , когда они раскрывают заговор на планете Кембел в 41 веке и крадут важный элемент мощного оружия, что выливается в погоню по всему пространству и времени. Среди локаций, появившихся в серии - Древний Египет , Голливуд 1920-х, Ливерпуль на Рождество 1965, планета невидимых существ и Центральный город Земли в 41 веке. В начале серии Доктор путешествует в компании Стивена и Катарины (продолжая концовку прошлой истории ) и встречает космического агента Брета Вайона . Позже по ходу серии Катарина и Брет погибают, став первыми спутниками с трагическим финалом. Доктор и Стивен объединяют силы с другим космическим агентом, Сарой Кингдом , и она также погибает в самом конце серии. Седьмой эпизод, трансляция которого выпала прямо на день Рождества , было решено снять в комедийной форме - этот ход позволил немного «отдохнуть» от основной сюжетной арки, так как главным героям удалось ненадолго скрыться от далеков. В заключительном моменте эпизода Доктор, Стивен и Сара обратились к телезрителям, говоря прямо в камеру поздравления с Рождеством и выпивая шампанское. В нескольких эпизодах появляется Питер Баттервортв роли Монаха , показанный ранее в серии « Вмешивающийся во время » (1965) - он становится первым вернувшимся злодеем в « Докторе Кто ». Как и в случае с остальными сериями, все утерянные эпизоды существуют в виде реконструкций с оригинальной звуковой дорожкой (записанной фанатами во время показа по телевидению) и скриншотами. Вселенная в опасности из-за заговора Хранителя Солнечной Системы Мавика Чена с далеками . Космическая служба безопасности посылает своих лучших агентов на Кембел, дабы раскрыть замыслы далеков. Тем временем Делегаты внешних галактик предлагают свою помощь далекам в обмен на свою безопасность. В тоже время единственный кто может помочь Вселенной, Доктор, вынужден искать помощь для раненого во время Троянской войны Стивена Тейлора и новой спутницы, греческой служанки Катарины . События принимают новый оборот, когда выясняется что далеки собираются использовать « Разрушитель Времени »… ТАРДИС Доктора прибывает на планету Кембел , где Доктор надеется найти лекарство для Стивена , поражённого ядом. В это время за ним ухаживает Катарина . Незадолго до этого, два космический агента , Брет Вион и Кёрт Гентри исследовали Кембел с целью найти пропавшего агента Марка Кори . Однако они понимают, что столкнулись с неизвестным врагом и пытаются тщетно связаться с базой на Земле. В это время на Земле в штабе SSS двое его сотрудников смотрят трансляцию выступления Мавика Чена , Хранителя Солнечной Системы, и не слышат вызова двух агентов с Кембела. Чен в передаче заявляет, что собирается уйти в отставку после празднования 25-летней годовщины с момента последней войны во Вселенной. Брет и Кёрт, не сумев дозвониться да Земли, разделяются, чтобы быстрее найти Марка. Через мгновение после того, как агенты разделились, одного из них, Кёрта Гентри, убивают далеки. В это время Брет Вион, понимая об убийстве товарища, идёт по просеке и именно в этот момент перед ним материализуется ТАРДИС. Понимая, что это космический корабль Брет под угрозой убийства забирает ключ от ТАРДИС у Доктора и, зайдя внутрь, требует, чтобы Катарина увезла их с планеты. Однако она не понимает что происходит, и тем более не представляет как управлять ТАРДИС. Под прицелом, она, пытается разобраться в рычагах консоли. Незаметно подкравшись, Стивен нападает Брета и связывает его, после чего Доктор выходит наружу. В это время далеки ожидают прибытия большого корабля с другими далеками и техникой. Выйдя из ТАРДИС, Доктор слышит посадку корабля и подбирается к нему поближе, стараясь выяснить, нет ли там подходящего лекарства для Стивена. В ТАРДИС Вион убеждает Катарину и Стивена , что не причинит им никакого вреда, и объясняет, что угрожал оружием из отчаяния. Брет говорит, что у него есть подходящее лекарство в его сумке. Стивену, принявшему лекарство становится намного лучше. К этому времени Доктор дошёл до посадочной посадки корабля далеков. Из корабля выходит Мавик Чен. Видя что прибывшего человека встречают опаснейшие существа во Вселенной, Доктор с ужасом спешит обратно в ТАРДИС, не успевая услышать разговор об уничтожении Вселенной. Вернувшись к своему кораблю, Доктор обнаруживает, что далеки захватили ТАРДИС и готовы отвезти её к себе на базу. Вне ТАРДИС Доктор подслушивает разговор далеков возле своего корабля. Двое из них говорят о немедленном выполнении операции «Инферно». Доктор незаметно крадётся вглубь джунглей, оставив ТАРДИС . Внутри города далеков Чен разговаривает с правителем Пятой Галактики, Зефоном . Зефон возражает против союза с далеками и предлагает найти другой способ захвата Вселенной. Во время разговора несколько далеков слышат, как Мавик говорит, что далеки нужны только как военная сила, а править Вселенной будет он сам. Верховный далек объясняет, что как только Чен выполнить свою задачу, он будет уничтожен, как и все остальные расы. В это время в джунглях Доктор натыкается на Стивена и Катарину. Катарина объясняет, что Брет помог им бежать из ТАРДИС, окружённой далеками. В это время он следил за группой далеков, которые с помощью пламенных пушек собирались сжечь джунгли. Стивен уговаривает Доктора, что нужно помочь Брету и они направляются к городу далеков. В городе Брет узнаёт, что Мавик Чен предал Вселенную и собирается предупредить об этом Землю, использовав один из кораблей далеков. Однако их увидел правитель Зефон и Брету пришлось напасть на него. Теперь по новому плану, Доктор, одев плащ правителя Пятой Галактики, будет притворяться им на заседании далеков, пока его спутники не украдут корабль. На заседании далеки рассказывают о завершении Разрушителя Времени — их абсолютного оружия. В свою очередь, Мавик Чен говорит, что нашёл очень редкий элемент — тараниум — нужный для работы «Разрушителя». Всё бы ничего, да пришедший в сознание «настоящий» Зефон поднимает тревогу. Члены заседания далеков разбегаются в панике и среди всеобщего хаоса Доктор крадёт тараниум . Не имея другого выбора, Брет Вион готовится взлететь с планеты без Доктора, несмотря на мольбы Стивена и Катарины Доктор, укравший тараниум, успевает сесть на угнанный корабль далеков и они взлетают. Далеки нуждаются в очень редком тараниуме, поэтому они не могут стрелять по угнанному кораблю. В это время Зефон говорит Чену, что угнавшие гуманоиды — с Солнечной системы и утверждает, что они в сговоре с Мавиком Ченом против союза с далеками. Наконец, он говорит, что покидает альянс и угрожает рассказать всему миру об их планах. Далеки , понимаю угрозу, убивают Зефона. В это время на корабле Брет Вион понимает, что Земля и вся система обречена и рассуждает, как ему поступить с информацией. Он предполагает, что раз Чен замешан в сговоре с далеками, то и земные политики могут содействовать ему. Когда корабль пролетает над тюремной планетой Десперус , далеки включают Рандомайзер , что заставляет корабль приземлиться на планете. После приземления корабля, заключённые с планеты понимают, что это не тюремный корабль. Борс , Гарг и Кирксен решают захватить его и сбежать. Понимая, что за приземлением стоят далеки, Брет и Стивен начинают чинить корабль, пока Катарина и Доктор, используя оголённые электрические провода, на дают заключённым пробраться на корабль. Двое из заключенных убиты. После починки корабля на радаре становится видно, что за ними по пятам идёт корабль с далеками. В спешке Доктор понимает, что забыл закрыть двери на корабле и отправляет за этим Катарину. Там на неё нападет Кирксен , угрожая, что убьёт её, если корабль не полетит на ближайшую планету — Кембел . следует добавить следует добавить следует добавить следует добавить следует добавить следует добавить следует добавить следует добавить следует добавить Миллионы лет прогресса обернулись вспять! Это всё, что осталось от далеков. Мой мальчик, мы окончательно избавили эту планету от далеков! Брет! Катарина! Сара! Какая потеря… Какая ужасная потеря… "
https://tardis.fandom.com/ru/wiki/%D0%A0%D0%B5%D0%B7%D0%BD%D1%8F_%D0%B2_%D0%BA%D0%B0%D0%BD%D1%83%D0%BD_%D0%A1%D0%B2%D1%8F%D1%82%D0%BE%D0%B3%D0%BE_%D0%92%D0%B0%D1%80%D1%84%D0%BE%D0%BB%D0%BE%D0%BC%D0%B5%D1%8F,"
					Резня в канун Святого Варфоломея				",Первый Доктор,Стивен Тейлор,Джон Люкаротти,Пэдди Расселл,Джон Уайлс,5-26 февраля 1966,"Резня в канун Святого Варфоломея The Massacre of St Bartholomew's Eve Доктор Кто : 3 сезон 5 серия Доктор: Первый Доктор Спутники: Стивен Тейлор Участвуют: Анна Чаплет Враги: Екатерина Медичи , Гаспар де Таванн , Аббат Амбуаза Камео: Додо Чаплет Место: Земля - Франция - Париж - 23 августа 1572 ТАРДИС Доктора Англия - 1960-е Производственная информация Автор: Джон Люкаротти Дональд Тош Режиссёр: Пэдди Расселл Продюсер: Джон Уайлс Номер: 22 Дата выхода: 5-26 февраля 1966 Формат: 4 эпизода по 25 мин. Отрывок Доктор Кто ← Предыдущее Следующее → Генеральный план далеков Ковчег Резня в канун Святого Варфоломея (или просто Резня ) — полностью утерянная 5 серия 3 сезона сериала « Доктор Кто » , состоящая из 4 эпизодов, показанных в период с 5 по 26 февраля 1966 года. Исторический сюжет серии развивается в Париже XVI века, где Доктор и Стивен становятся свидетелями событий, которые привели к Варфоломеевской ночи . Примечательно, что в этой серии Уильям Хартнелл играет не только Доктора, но и второстепенного персонажа Аббата Амбуаза , и они друг с другом не пересекаются. Важным элементом взаимоотношений Доктора и Стивена в этой серии является трагический финал прошлой истории . Действие концовки 4 эпизода происходит в Англии 1960-х, и здесь впервые появляется Джекки Лейн в роли Додо Чаплет , которая становится новой спутницей. Доктор и Стивен осознают, что она является дальней родственницей Анны Чаплет , с которой они виделись в Париже. Как и в случае с остальными сериями, все утерянные эпизоды существуют в виде реконструкций с оригинальной звуковой дорожкой (записанной фанатами во время показа по телевидению) и скриншотами. Приземлившись в Париже 1572 года, Доктор хочет навестить известного аптекаря Преслина, в то время как Стивен оказывается прямо посреди конфликта между католиками и протестантами. Юная девушка Анна Чаплет оказывается ключом к раскрытию зловещего заговора королевской семьи… ТАРДИС остановилась во Франции, в середине 16 века. В это время была вражда между католиками и протестантами (гугенотами). С целью остановить это, был заключён брак между протестантским принцем Генрихом Наваррским и католической принцессой, Маргаритой Французской. Путешественники зашли в кабак. После, Доктор отправился на поиски представителя братства аптекарей, Чарльза Преслина. Доктор отправился в его дом. Преслин не сразу признался, кто он, т.к. в то время его деятельность была осуждаема. Стивен хотел погулять по Парижу. Мужчины из трактира предложили быть его проводниками. Некая девушка убегала от солдат, служивших аббату Амбуаза (помощник кардинала Лотаригнского), и забежала в таверну. За ней зашли преследователи. Мужчины защитили беглянку, так что солдаты не нашли её. Она рассказала, что подслушала что-то, связанное с Васси. 10 лет назад в Васси 100 гугенотов были убиты католиками. Судя по всему, католики планировали ещё один погром. В доме адмирала Колиньи находились Николас Мусс и Гастон (мужчины из трактира). Они все гугеноты. Стивен вошёл к ним и сказал, что не нашёл Доктора. Мужчины предложили проводить его в порт. Пришёл Роджер Кольберт и извинился за инцидент с девушкой; он упомянул, что она работает на кухне адмирала; сказал, что, возможно, она испугалась не слов мужчин о Васси, а своих воспоминаний. Якобы, те, кто говорили это, не имели ввиду резню. Ему ответили, что девушку, которая работает на кухне адмирала Колиньи, зовут Женевьева и она там работает с того времени, как приехала в Париж. Выяснилось, что он следил за гугенотами по пути из таверны. Мужчины увидели, что аббат Амбуаза подошёл к дому и разговаривал с Роджером. Стивен увидел Доктора и решил пойти к нему, но его обвинили в сотрудничестве с Аббатом. По мнению мужчин, Доктор – это и был аббат. Стивен, чтоб доказать, что он – не шпион, попросил провести его к порту св. Мартина в магазин Преслина, чтоб познакомить их с Доктором и убедить, что они просто похожи. Мужчины проводили Стивена к порту, выяснили, что уже 2 года магазин не работает. Стивен подумал, что, возможно, Доктор притворяется аббатом. Но ему не поверили, хотели его увести, он сбежал. Воинствующие католики узнали, что в доме Колиньи находится Стивен – англичанин. Стивен пришёл к апартаментам аббата. Маршал попросил его передать аббату: «Морской нищий умрёт завтра». Стивен пришёл к адмиралу и сел за стол. Гастон увидел это и напал на него. Но Стивен не защищался. Гастон рассказал об этом Николасу. Анна следила за Стивеном. Он увидел её. Она попросила взять её с собой и предложила быть его проводником. Стивен решил прийти к дому аббата и замаскировался, Анна пошла с ним. Привратник не пускал Стивена в дом к аббату, Доктор подошёл к нему. К «аббату» пришли католики и он сказал Стивену подождать снаружи. Стивен пришёл к гугенотам и сказал, что «морской нищий» - это адмирал. Его должны были убить на пути с заседания. В него выстрелили, но не попали. Маршал и лже-аббат ждали известий о смерти адмирала. Роджер сообщил, что убийство не произошло. Маршал приказал убить аббата. Стивен рассказал гугенотам, когда и где он узнал новости по поводу планировавшегося убийства. Некто сообщил, что аббат мёртв. Король приказал Маршалу заботится о безопасности адмирала. Обвинил королеву-мать в участии в убийстве адмирала. Католическое население посчитало, что гугеноты убили аббата. Стивен подошёл к якобы убитому Доктору и люди решили, что он участвовал в его убийстве. Маршал решил обвинить в убийстве аббата гугенотов, чтобы привлечь внимание короля. Стивен знал правду, так что воинствующие католики решили его найти. Анна спряталась в магазине Преслина. Пришёл Стивен и сказал, что ему удалось сбежать. Он начал искать ключ от ТАРДИС в магазине. Анна нашла трость Доктора. Не могли найти его одежду, которую он снял, когда оделся, как аббат. Анна предположила, что Доктор ушёл куда-то с аптекарем. Пришёл Доктор. Он узнал, что на следующий день должно было состояться празднование в честь дня Святого Варфоломея. Был 1572 год. Должна была состояться так называемая резня св. Варфоломея, или Варфоломеевская ночь. Доктор говорил Анне, что она должна идти домой и остаться там или остановиться у кого-нибудь. Анна ушла. У католиков был список людей, которых должны были убить. Планировалась убить Генриха Наваррского. Маршал был против. Гугеноты решили увезти его из города. Путешественники зашли в ТАРДИС как раз, когда начинается резня. Стивен обвинял Доктора, что тот оставил Анну, и решил уйти от него. После следующей остановки ТАРДИС Стивен покинул Доктора. Доктор впервые остается в одиночестве и понимает, что его компаньоны его покинули и не смогли его понять, а также осознает свою невозможность вернуться домой. ТАРДИС приземлилась в 1966 году. После его речи, внутрь забежала девушка, думающая, что это настоящая полицейская будка. Она сказала, что ей нужен был телефон, т.к. ранен мальчик, и ей надо позвонить. Доктор сказал ей, что надо искать другую будку. В это время прибежал Стивен и сказал, что к будке идут двое полицейских. Доктор закрыл двери и запустил ТАРДИС. Девушка осталась внутри. Она сказала, что ей всё равно, вернётся домой или нет, у неё не было родителей, она живёт со своей двоюродной бабушкой. Её звали Доротея Чаплет . Она сказала, что у неё дедушка из Франции; можно сделать предположение, что она - потомок Анны Чаплет. Теперь все они ушли. Все ушли. Никто из них не смог понять… Даже моя маленькая Сьюзан! и Вики… и, конечно, Барбара, и Четтертон. Честертон! Они были очень нетерпеливы, хотели вернуться в своё собственное время. И теперь… Стивен! Наверное, я должен вернуться к себе домой, на свою родную планету… Но я не могу… не могу… "
https://tardis.fandom.com/ru/wiki/%D0%9A%D0%BE%D0%B2%D1%87%D0%B5%D0%B3_(%D0%A2%D0%92_%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F),"
					Ковчег (ТВ история)				",Первый Доктор,Стивен,Пол Эриксон,Майкл Имисон,Джон Уайлс,5-26 марта 1966,"Ковчег The Ark Доктор Кто : 3 сезон 6 серия Доктор: Первый Доктор Спутники: Стивен , Додо Враги: Моноиды Место: Ковчег и Рефьюзис II - 57 сегмент времени ТАРДИС Доктора Производственная информация Автор: Пол Эриксон Лесли Скотт Режиссёр: Майкл Имисон Продюсер: Джон Уайлс Номер: 23 Дата выхода: 5-26 марта 1966 Формат: 4 эпизода по 25 мин. Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Резня в канун Святого Варфоломея Небесный игрушечник Ковчег — 6 серия 3 сезона сериала « Доктор Кто », состоящая из 4 эпизодов, показанных в период с 5 по 26 марта 1966 года. Сюжет серии развивается в далёком будущем, где Первый Доктор , Стивен и Додо приземляются на борту огромного космического Ковчега с Земли, где остатки человечества ищут себе новую планету. История примечательна тем, что первые два эпизода и последние два эпизода происходят в разных временных периодах - в первом рассказывается о том, как человечество справляется с вирусом гриппа, который сюда завезли путешественники во времени, а во втором поветсвуется о восставшей расе моноидов , ранее представленных как слуги человечества. Доктор и его спутники Стивен Тейлор и Додо Чаплет оказались около 10 000 00 лет в будущем на гигантском звездолёте, который стал пристанищем для последних людей. Человечество в содружестве с моноидами ищет планету Рефьюзис II , на которую было решено переселиться из Земли . Однако, будущее оказывается в опасности из-за Додо, которая, сама этого не замечая, в корне его меняет… следует добавить следует добавить следует добавить следует добавить "
https://tardis.fandom.com/ru/wiki/%D0%9D%D0%B5%D0%B1%D0%B5%D1%81%D0%BD%D1%8B%D0%B9_%D0%B8%D0%B3%D1%80%D1%83%D1%88%D0%B5%D1%87%D0%BD%D0%B8%D0%BA_(%D0%A2%D0%92_%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F),"
					Небесный игрушечник (ТВ история)				",Первый Доктор,Стивен,Брайан Хейлс,Билл Селларс,Иннес Ллойд,2-23 апреля 1966,"Небесный игрушечник The Celestial Toymaker Доктор Кто : 3 сезон 7 серия Доктор: Первый Доктор Спутники: Стивен , Додо Враги: Небесный игрушечник Место: Небесная Комната Игрушек ТАРДИС Доктора Производственная информация Автор: Брайан Хейлс ; Дональд Тош ; Джерри Дэвис Режиссёр: Билл Селларс Продюсер: Иннес Ллойд Номер: 24 Дата выхода: 2-23 апреля 1966 Формат: 4 эпизода по 25 мин. Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Ковчег Меткие стрелки Небесный игрушечник — 7 серия 3 сезона сериала « Доктор Кто », состоящая из 4 эпизодов, показанных в период со 2 по 23 апреля 1966 года. Первые три эпизода считаются утерянными . Сюжет серии развивается в другом измерении , которым повелевает таинственный Небесный игрушечник - он заставляет Доктора и его спутников, Стивена и Додо , пройти череду «игр» и испытаний на выживание. Доктор и его спутники попадают в чуждый им мир вне времени и пространства. Необычное приключение начинается после исчезновения Доктора из ТАРДИС. Как оказалось, за этим стоит Небесный игрушечник - загадочный бессмертный повелитель Небесной Комнаты Игрушек . Теперь путешественники должны победить в игре, иначе они навсегда останутся в руках Игрушечника… следует добавить следует добавить следует добавить следует добавить "
https://tardis.fandom.com/ru/wiki/%D0%9C%D0%B5%D1%82%D0%BA%D0%B8%D0%B5_%D1%81%D1%82%D1%80%D0%B5%D0%BB%D0%BA%D0%B8,"
					Меткие стрелки				",Первый Доктор,Стивен,Дональд Коттон,Рекс Такер,Иннес Ллойд,30 апреля - 21 мая 1966,"Меткие стрелки The Gunfighters Доктор Кто : 3 сезон 8 серия Доктор: Первый Доктор Спутники: Стивен , Додо Враги: Джонни Ринго ; братья Клэн тоны Место: Земля - США : Аризона - Тумстоун - октябрь 1881 ТАРДИС Доктора Производственная информация Автор: Дональд Коттон Режиссёр: Рекс Такер Продюсер: Иннес Ллойд Номер: 25 Дата выхода: 30 апреля - 21 мая 1966 Формат: 4 эпизода по 25 мин. Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Небесный игрушечник Дикари Меткие стрелки — 8 серия 3 сезона сериала « Доктор Кто » , состоящая из 4 эпизодов, показанных в период с 30 апреля по 21 мая 1966 года. Исторический сюжет серии развивается на Диком Западе , где путешественники во времени Доктор , Стивен и Додо вмешиваются в события знаменитой перестрелки в 1881 году . Это последняя серия оригинального « Доктора Кто », где каждый эпизод получал индивидуальное название, что традиционно происходило с 1963 года. Прибыв в город Тумстон, Доктор понимает, что ему необходимо найти стоматолога. Пока он занимается поисками, его спутники Стивен и Додо попадают в большие неприятности с местными бандитами. Тем временем, Доктора начинают принимать за скрывающегося бывшего преступника Дока Холлидея, и за ним открывается самая настоящая охота… следует добавить следует добавить следует добавить следует добавить "
https://tardis.fandom.com/ru/wiki/%D0%94%D0%B8%D0%BA%D0%B0%D1%80%D0%B8_(%D0%A2%D0%92_%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F),"
					Дикари (ТВ история)				",Первый Доктор,Стивен,Йен Стюарт Блэк,Кристофер Барри,Иннес Ллойд,28 мая - 18 июня 1966,"Дикари The Savages Доктор Кто : 3 сезон 9 серия Доктор: Первый Доктор Спутники: Стивен , Додо Враги: Джано , Старейшины Место: Планета Старейшин и Дикарей Производственная информация Автор: Йен Стюарт Блэк Режиссёр: Кристофер Барри Продюсер: Иннес Ллойд Номер: 26 Дата выхода: 28 мая - 18 июня 1966 Формат: 4 эпизода по 25 мин. Отрывок Доктор Кто ← Предыдущее Следующее → Меткие стрелки Военные машины Дикари , также известная как Доктор Кто и дикари — полностью утерянная 9 серия 3 сезона сериала « Доктор Кто » , состоящая из 4 эпизодов, показанных в период с 28 мая по 18 июня 1966 года. Сюжет серии развивается на планете, где путешественников во времени Доктора , Стивена и Додо встречает продвинутая цивилизация, в тайне экслуатирующая ради своего благополучия «дикарей», живущих вне города. Здесь произошло финальное появление Питера Пёрвса в роли Стивена, который в конце серии становится первым правителем объединённой цивилизации. Это первая серия « Доктора Кто », где каждый эпизод не получал индивидуального названия, а был пронумерован под одним общим названием. Как в случае и с остальными сериями, все утерянные эпизоды существуют в виде реконструкций с оригинальной звуковой дорожкой (записанной фанатами во время показа по телевидению) и скриншотами. Доктор, Стивен и Додо прибывают на высокоразвитую планету, которой правят представители древней и продвинутой цивилизации. Старейшины, которые управляют планетой, радушно приветствуют Доктора и его спутников, рассказывая о том, что их технологии позволили им наблюдать за великими победами Доктора. Всё бы ничего, однако Додо случайно открывает страшную правду о величии господ планеты, и теперь, когда правда раскрыта, Старейшины раскрывают свои реальные замыслы… следует добавить следует добавить следует добавить следует добавить "
