URL,Name,Nicknames,Race,Planet,Content
https://tardis.fandom.com/ru/wiki/%D0%99%D0%B5%D0%BD_%D0%A7%D0%B5%D1%81%D1%82%D0%B5%D1%80%D1%82%D0%BE%D0%BD,"
					Йен Честертон				",Рыцарь Яффы,Человек,Земля,"Йен Честертон Ian Chesterton Прозвища: Рыцарь Яффы Раса: Человек Планета: Земля Семья: Жена: Барбара Райт Сын: Джонни Чесс Занятие: учитель химии в Коал-Хилл Появления Первое: ТВ: Неземное дитя (1963) Прощание с Доктором: ТВ: Погоня (1965) Появления: список Актёр: Уильям Расселл Джейми Гловер Видео Йен Фрэнсис Честертон (позже, сэр Йен, Рыцарь Яффы ) — учитель химии в школе Коал Хилл, ставший одним из самых первых спутников Доктора. Изначально, он отказывался верить в то, что ТАРДИС - машина времени и космический корабль, и Доктор и Сьюзан - пришельцы, хотя после путешествия в 100 000 год до нашей эры, вынужден был признать это ( ТВ: Неземное дитя ). У Йена с Доктором были не совсем хорошие отношения, однако после нескольких поездок, они наладились до такой степени, что Доктор не хотел расставаться с Йеном и Барбарой . ( ТВ: Погоня ) Во время путешествий Йен проявлял такие качества, как смелость и отвага, пытаясь помочь Доктору в самых разнообразных ситуациях. После прощания со Сьюзан, Йен сказал, что это самый храбрый поступок Доктора, который он когда-либо видел ( ТВ: Спасение ). В дальнейшем, ему даже нравилось путешествовать во времени и пространстве и находиться в ТАРДИС. Йен предположил, что Вики стала для Доктора «заменой» Сьюзан в некоторой степени, потому что тот быстро привязался к девушке. Во время путешествий с Вики из будущего, он хоть и удивлялся её некоторым высказываниям, однако понимал, что «времена меняются, меняются и нравы» . Не смотря на то, что Йен наслаждался путешествиями, он хотел вернуться к своей обычной жизни, использовав любые средства, если придётся (ТВ: Погоня ) . После расставания с Первым Доктором, у него было ещё одно приключение с Одиннадцатым , хотя он до последнего не верил, что стоящий перед ним молодой человек - тот же ворчливый старик, с которым он распрощался. Затем, у них с Барбарой была свадьба и родился ребёнок. ( КОМИКС: Охотники Пылающего камня ) Йен Честертон вырос в Лондоне во время Второй мировой войны ( АУДИО: Музей времен ). В детстве он посещал церковную школу, где отец Майкл заставил его выучить наизусть все 10 заповедей ( АУДИО: Пламя Кадиса ; ПРОЗА: Одиннадцатый тигр ). В молодости он очень полюбил произведения Жюля Верна и Герберта Уэллса , чьи рассказы вдохновили его серьёзно заняться изучением наук ( ПРОЗА: Одиннадцатый тигр ). Настоящим кумиром Йена был Фрэнсис Дрейк, про которого он видел не один кинофильм. Больше всего ему запомнился и понравился тот, где играли Бетт Дэвис и Флора Робсон. ( АУДИО: Пламя Кадиса ) Йен в 1963 году (ТВ: Неземное дитя ) В течение 1950-х годов Йен был рядовым солдатом в британской армии. Его личный номер - 15110404 ( ПРОЗА: Путешественники во времени ). Он служил в Уэльсе , где начал увлекаться боксом ( ПРОЗА: Одиннадцатый тигр ). Позже, он присоединился к Королевским ВВС, после чего отправился служить в Малайзию ( ПРОЗА: Лицо врага ). Всю свою жизнь он мечтал побывать в Австралии. ( АУДИО: Путешествие на Венеру ) С 1960-х годов, Йен стал работать учителем химии в лондонской школе Коал-Хилл. Ровно за месяц до встречи с Первым Доктором , Йен встретил цыганку, которую звали Розмэри . Она сказала ему, что в будущем он столкнётся с большими опасностями и серьёзными проблемами, с которыми не имел дело ни один человек, однако сказала и то, что он может изменить свою судьбу, не взяв пакет, который лежит возле женщины. Йен решил не изменять будущее, а просто идти по жизни, забрав пакет. ( ПРОЗА: Расколотые ворота ) следует дополнить следует дополнить следует дополнить "
https://tardis.fandom.com/ru/wiki/%D0%90%D0%BB%D0%B8%D1%81%D1%82%D0%B5%D1%80_%D0%93%D0%BE%D1%80%D0%B4%D0%BE%D0%BD_%D0%9B%D0%B5%D1%82%D0%B1%D1%80%D0%B8%D0%B4%D0%B6-%D0%A1%D1%82%D1%8E%D0%B0%D1%80%D1%82,"
					Алистер Гордон Летбридж-Стюарт				","Бриг, ",Человек,Земля,"Алистер Гордон Летбридж-Стюарт Brigadier Alistair Gordon Lethbridge-Stewart Прозвища: Бриг, Грейхаунд Раса: Человек после смерти киберчеловек Планета: Земля Рождение: Англия 1929/1930 Гибель: 16 декабря 2011 Семья: список ; дочь: Кейт , дедушка: Арчибальд , отец: Гордон Занятие: полковник, бригадир, генерал основатель и глава UNIT Появления Первое: ТВ: Сеть страха (1968) Последнее: АУДИО: Big Finish Смерть: ТВ: Свадьба Ривер Сонг (2011) , Смерть на небесах (2014) ПРОЗА: День Доктора (2018) Появления: список Актёр: Николас Кортни Джон Кулшоу ( Big Finish ) Видео Бригадир сэр Алистер Гордон Летбридж-Стюарт , часто называемый просто Бригадир — один из основателей UNIT и командующий его операциями в Великобритании . Несмотря на своё положение и организацию, к которой он себя причислял, Бригадир стал доверенным союзником и близким другом Доктора . Ссылка Третьего Доктора на Землю вынудила его стать научным консультантом UNIT . Доктор и Бригадир провели несколько лет, вместе отражая вторжения пришельцев на Землю. Бригадир и дальше встречал Доктора, когда того заносило на Землю в путешествиях, и помог множеству воплощений Доктора защищать планету. Даже после того, как он умер в начале 21 века , он всё же ещё раз встретил Доктора, поднявшись из могилы в виде киберчеловека . Дочь Бригадира, Кейт Стюарт , унаследовала его славу и в качестве главы научного отдела UNIT, и как верный союзник Доктора. Алистер Гордон Летбридж-Стюарт происходит из старинного рода военных, который отслеживается примерно на 400 лет в прошлое, до Стюартов из Ланарка и Летбриджей из Девона. ( ПРОЗА: Forgotten son ) Алистер - шотландец. ( ТВ: Террор зайгонов ) Его отец, а также двоюродный и родной дедушка родились в Шотландии. ( ПРОЗА: What's Past is Prologue , Письмо ) На пороге начала своих регенераций Первый и Двенадцатый Доктор встретили Арчибальда Хэмиша Летбридж-Стюарта, родственника Алистера, которому суждено было умереть от руки немецкого солдата в Ипре на Рождество. Двое Докторов пообещали, что они присмотрят за его семьёй, но Двенадцатый Доктор немного подкорректировал время, к которому Арчибальду суждено было умереть. В результате, ко времени, когда Арчибальд был готов встретить свою судьбу, началось Рождественское перемирие, так что и он, и его оппонент выжили. ( ТВ: Дважды во времени ) Алистер вырос, веря в то, что Арчибальд был его двоюродным дедушкой, хотя остаётся неясным, открылась ли ему правда после 1945 года; на самом деле Арчибальд был родным отцом Гордона Коналла Летбридж-Стюарта и дедушкой Алистера, таким образом. ( ПРОЗА: Письмо ) Алистер Гордон Летбридж-Стюарт родился 22 февраля либо в 1929 , либо в 1930 году ( ПРОЗА: Blood Heat, No Future, Forgotten Son ) и является сыном Мэри и Гордона Коналла Летбридж-Стюарта. ( ПРОЗА: Forgotten son ) Он был единственным ребёнком в своей семье и воспитывался в Шимле, Индийском городе. Учился Алистер в английской подготовительной школе. Его мать умерла через некоторое время после того, как он покинул Англию. ( ПРОЗА: Остров смерти ) По другому источнику он родился в Англии, Корнуолле , и отправился в Индию только когда ему исполнилось шестнадцать, жить с сестрой его матери и её мужем, до того, как переехать в Коулшилл, где его мать провела остаток своей жизни. Друзья и семья звали его просто ""Ал"". Юный Алистер был под давлением милитаристского образа жизни семьи Летбридж-Стюарт, особенно со стороны своего отца, Гордона Коналла Летбридж-Стюарта, который был солдатом Королевских Воздушных Сил, ( ПРОЗА: Forgotten Son ) и дедушки, что был его тёзкой. На Рождество 1938 года дедушка подарил ему коробку игрушечных солдат и спросил «Кем ты хочешь быть, когда вырастешь?» ( ПРОЗА: The Warkeeper's Crown ) Алистер, видимо, не очень рад подарку своего дедушки. (ПРОЗА: The Warkeeper's Crown) Брат Алистера со своими друзьями объединились в группу под названием ""Кадеты Блидо"". Однако, Алистера посчитали слишком юным для этого и не позволили вступить. ( ПРОЗА: Forgotten Son ) Когда Алистер пытался поучаствовать в деятельности ""Кадетов"", те всячески препятствовали этому. ( ПРОЗА: The Bledoe Cadets and the Bald Man of Pengriffen ) В 1940 , во время бомбардировки Лондона Алистер провёл ночь в бомбоубежище на Итон-сквер. ( ПРОЗА: Дьявольские гоблины с Нептуна ) В Англии он учился в школе Хэрроу в 1943 ( ПРОЗА: Дьявольские гоблины с Нептуна ) и в Холборо, где он впервые встретил Тэдди Фитцоливера . ( АУДИО: Рай смерти ) В начале пятидесятых молодой Летбридж-Стюарт отдавал свой долг Родине во время службы на фронте в Корейскую войну , где он впервые встретил подпоручика Спенсера Пембертона. Пембертон был тем, кто показал Алистеру, как важно быть военным. ( ПРОЗА: Засада! ) Будучи совершеннолетним, Алистер поступил в военную академию Сандхёрст вместе с Билли Ратлиджем . ( ТВ: Вторжение ) Люди, что знали его там, говорили, что даже тогда у него были большие амбиции. ( ПРОЗА: Кто убил Кеннеди ) В Сандхёрсте он был одним из ""святой троицы"" кадетов вместе с Уолтером Дугласом и Лесли Джоннстон, под надзором Бригадира Оливера Гэмильтона . ( ПРОЗА: Forgotten Son ) Комментарий Летбридж-Стюарта о ""тридцати годах солдатской службы"" ( ТВ: Мертвец Модрин ) может относиться к обучению в Сандхёрсте до 1953 , или, так как он ушёл в отставку в 1976 , к 1946 . В некоторых источниках он показывается как ветеран Второй мировой , который ностальгировал по ""чисто выверенным военным операциям"" в армии ( ПРОЗА: Остров смерти , Смертельное воссоединение ) - что конфликтует с его датой рождения в предыдущих книгах. Ещё один источник утверждает, что он служил в Корее, когда ему было 21, что хорошо согласуется с другим источником, ( ПРОЗА: Forgotten Son ) утверждающим, что он поступил на национальную службу во время Корейской войны. Это могло быть началом его военной карьеры, так как выяснилось, что он поступил в Сандхёрст после национальной службы. 21-летнему подпоручику Летбридж-Стюарту была поручена миссия от Королевского флота обновить британские карты Греческих островов, через некоторое время после окончания Второй мировой. Он прибыл в Албанию для борьбы со Сталинскими мятежниками. Там и произошла его первая встреча со сверхъестественными явлениями. Алистер столкнулся с Бессмертными и был в греческом царстве мёртвых - Аиде; после возвращения его воспоминания о пребывании там были стёрты из его памяти. ( ПРОЗА: Смертельное воссоединение ) В 22 года он служил на Корейской войне и посещал Нью-Йорк после окончания службы. ( ПРОЗА: Дьявольские гоблины с Нептуна ) Будучи лейтенантом, был назначен в Сьерра-Леоне в 1954 . ( ПРОЗА: Transit ) В какой-то момент присоединился к шотландским гвардейцам и некоторое время находился в Олдгейте . ( ТВ: Зелёная смерть ) Летбридж-Стюарт потерял девственность с девушкой по имени Вера в ночь, когда был официально повышен до подпоручика. В Греции он влюбился в бессмертную Персифону . Алистер вошёл в Аид и сразился с Аидом , властелином подземного мира, за неё. Он провёл с Персифоной две недели, прежде чем та неохотно стёрла его память. Они встретились ещё раз в 1970-ых, когда память Алистера восстановилась. ( ПРОЗА: Смертельное воссоединение ) Потерявшись в Сьерра-Леоне, Летбридж-Стюарт встретил Мариату , дочь вождя. В тайне от него она родила сына по имени Мариама . ( ПРОЗА: Transit ) Вернувшись в Британию, Бригадир встретился с Фионой и вскоре женился на ней. После Лондонского события у них родилась дочь, которую они назвали Кейт . ( ПРОЗА: Весы несправедливости, HOMEVID: Downtime ) Когда-то в шестидесятых, за одиннадцать лет до вторжения пауков Алистер встречался с Дорис в отеле Брайтон . ( ТВ: Планета пауков ) Их отношения закончились, когда Летбриджа-Стюарта вновь послали за границу. ( ПРОЗА: The Warkeeper's Crown ) Полковник Летбридж-Стюарт служил в Ливии во втором батальоне шотландских гвардейцев, когда, по просьбе своего старого наставника и друга Спенсера Пембертона , его отозвали в Англию для оказания помощи в Лондонском событии. Он был десантирован в Лондон с воздуха после того, как паутина полностью окружила город. ( ПРОЗА: Засада! ) Алистер заменил погибшего полковника Пембертона, который погиб в рукопашной схватке с Йети . Только он и водитель Эванс пережили засаду йети в Холборне . Именно в это время Алистер впервые встретил второе воплощение Доктора в лондонской подземке. Летбридж-Стюарт показал себя решительным и мобильным командиром - хоть он и был шокирован после потери второго взвода при отступлении - также он очень оптимистично относился к событиям, происходящим вокруг; он даже поверил в историю о ТАРДИС с самого начала. ( ТВ: Паутина страха ) Вскоре после Лондонского события Летбридж-Стюарт встретился с вице-маршалом воздушного флота Йеном ""Крепышом"" Гилмором и узнал от него о Шордичском случае . Враждебные пришельцы были на Земле в 1963 году, и Гилмор самолично помогал отбить их атаку вместе с Седьмым Доктором . Также, Гилмор видел доказательства того, что пришельцы посещали Землю тысячи лет назад. ( HOMEVID: Downtime ) Полковник Летбридж-Стюарт отправился в правительство и предложил идею формирования постоянно действующей военно-разведывательной группы с возможностью быстрого реагирования для того, чтобы исследовать инопланетные и необычные феномены, которые могут угрожать нации. Его предложение было отклонено. Он рискнул своей карьерой, ходатайствуя в Соединённых Штатах Америки за создание такого отряда. ( ПРОЗА: Кто убил Кеннеди ) Когда ЮНИТ был создан, Алистер был повышен до звания бригадира и назначен начальником британского отдела. ( ТВ: Вторжение ) Это повышение подорвало его дружеские отношения со многими высокопоставленными британскими военными. ( ПРОЗА: Кто убил Кеннеди ) Через четыре года после вторжения йети, ЮНИТ начало расследование таинственных действий владельца электронной промышленности, Тобиаса Вона . Как оказалось, Вон заключил союз с киберлюдьми и помогал им с целью стать правителем Земли . С помощью Второго Доктора Бригадир и его люди смогли помешать им. ( ТВ: Вторжение ) Придя к выводу, что помощь Доктора в отражении инопланетных угроз неоценима, Бригадир решил нанять в ЮНИТ полноценного научного консультанта. Он хотел видеть на этой должности доктора Элизабет Шоу , однако она скептически отнеслась как к предложению, так и к идее существования пришельцев. В это же самое время Бригадир вновь столкнулся с Доктором, который был отправлен в ссылку на Землю XX века после принудительной регенерации по решению суда Повелителей Времени . Бригадир взял Доктора на должность научного консультанта филиала ЮНИТ в Великобритании вместе с Лиз Шоу в качестве его ассистентки. ( ТВ: Прибытие из космоса ) Бригадиру и новому воплощению Доктора не хватало той лёгкости в общении, которой они оба наслаждались на протяжении прошлой инкарнации Доктора . Их отношения ещё больше усложнились, когда Бригадир подорвал колонию силурианцев в Уэнли мур, пообещав перед этим Доктору не причинять им вред. Доктор посчитал это действие как минимум убийством, если не геноцидом. ( ТВ: Доктор Кто и силурианцы ) Бригадир и Третий Доктор . Вскоре после этого инцидента Бригадир решил помочь своему старому другу и коллеге, полковнику Генриху Конраду , командиру подразделения ЮНИТ в замке Кридскид в Германии. Узнав, что Конрад устроил эксперимент с инопланетным растением и принял в нём участие, тем самым вызвав призраки прежних жителей замка, Летбридж-Стюарт позвал Доктора на помощь. После того, что случилось на Уэнли Мур, он опасался, что Доктор вовсе не придёт - но тот прибыл вовремя, а также создал устройство для помех, которое держало призраков на расстоянии достаточно долго для того, чтобы силы ЮНИТ смогли покинуть замок, прежде чем он был разрушен. ( АУДИО: Старые солдаты ) Ко времени второго столкновения Алистера с силурианцами его отношения с женой Фионой начали ухудшаться. ( ПРОЗА: Весы несправедливости ) Позже Фиона и Бригадир развелись. Когда их дочь, Кейт , подросла, она отдалилась от обоих родителей, но связалась с отцом, когда думала, что её обижают другие ученики из школы , и с тех пор у них установились хорошие отношения. ( HOMEVID: Downtime ) После того, как Лиз Шоу покинула ЮНИТ, чтобы продолжить своё исследование в Кембридже , Бригадир нанял Джо Грант в качестве новой помощницы Доктора. Вместе с капитаном Майком Йейтсом они тут же столкнулись с очередным вторжением Нестин , во время которого Бригадир впервые встретил Мастера . ( ТВ: Террор автонов ) Когда по Британии прокатилась война насилия, Алистер снова встретил Персифону и его память была восстановлена. Бригадир также обнаружил, что противостоит Аиду , из-за чего ему и Доктору пришлось заключить союз с Мастером. ( ПРОЗА: Смертельное воссоединение ) Летбридж-Стюарт руководил ЮНИТом, когда организация обеспечивала безопасность на Всемирной мировой конференции, в то время как Доктор исследовал необычную машину в Стангмурской тюрьме. Однако их работы совпали - Мастер разработал тщательный план, чтобы сорвать конференцию, сначала пытаясь убить делегатов, а затем используя заложников в Стангмурской тюрьме. Так как Доктор оказался в ловушке внутри тюрьмы, Бригадир и ЮНИТ проникли в Стангмур, чтобы перехватить контроль и отбить заложников. Однако, оказалось что сообщники Мастера в тюрьме также угнали ракету. Пока Доктор отвлекал Мастера предложением сделки, ЮНИТ удалось уничтожить машину и ракету, но Мастеру, к несчастью, удалось сбежать снова. ( ТВ: Разум зла ) Войска ЮНИТ прибыли для того, чтобы изучить разбившийся космический корабль неподалёку от Ньютон Пауэр Комплекс на юго-востоке Англии . Бригадир, Доктор, Джо, министр из правительства Горацио Чинн и несколько учёных получили доступ в корабль и встретили там казалось бы мирную расу Аксонов . Аксоны представили людям чудесный материал с их родины - аксонит , который мог делать множество удивительных вещей, и министр Чинн схватил этот аксонит даже раньше, чем начались переговоры об его передаче. Позже стало ясно, что Мастер помогал аксонам таким образом вторгнуться на Землю, и войска ЮНИТ множество раз сразились с аксонами, ставшими теперь жуткими существами со щупальцами. Аксоны были остановлены только тогда, когда Доктору удалось заключить их корабль во временную петлю . ( ТВ: Когти аксонов ) Доктор и Джо, расследовавшие археологические раскопки в деревне Дьявольский край , обнаружили Мастера, маскирующегося под местного викария. Бригадир долгое время не мог воссоединиться с Доктором, Джо, Бентоном и Йейтсом из-за теплового барьера вокруг деревни, который был сгенерирован Мастером. Однако, через некоторое время ему всё же удалось проникнуть на территорию деревни как раз вовремя для того, чтобы помочь справиться с ожившей каменной горгульей по имени Бок . Ему вместе с силами ЮНИТ удалось арестовать Мастера для того, чтобы тот предстал перед судом за свои многочисленные преступления. ( ТВ: Демоны ) Незадолго до всемирной конференции мира Бригадир взял на себя расследование дела по поводу ""призрака"" в Одерли-хаус , которого, по его словам, видел сэр Реджинальд Стайлс , делегат Великобритании. После того, как Доктор уехал на Лэнд Ровере Алистера, преследуя каких-то партизан из 22-ого века, Летбридж-Стюарт принял участие в конференции. Когда же Доктор вернулся из 22-ого века, Бригадиру и силам ЮНИТ пришлось отбивать атаку далеков на дом, в котором проводилась мирная встреча. Бригадир эвакуировал участников конференции, так как бомба из далекания, которую принёс в дом Шура, могла убить всех делегатов и вызвать Третью мировую войну. ( ТВ: День далеков ) Бригадир, случайно загипнотизированный Третьим Доктором. Бригадир и его подчинённые из ЮНИТа неожиданно начали забывать Мастера во время вторжения серебряных крабов на Британскую береговую линию. Доктор выяснил, что в этом были повинны Сильд, которые намеренно заставляли всех забыть Мастера с помощью чего-то, что Доктор назвал ""стирание из времени"". Доктор решил, что он должен вытащить Мастера из тюрьмы на Дурслдон-хит прежде чем Сильд доберутся до него, но срок заключения Мастера к тому моменту закончился, поступило распоряжение правительства, и Бригадиру пришлось отдать ВВС приказ подорвать тюрьму. Впоследствии Доктор на некоторое время как будто бы исчез, что очень опечалило Алистера и его подчинённых. Но через несколько дней Доктор появился снова, разобравшись со ""стиранием из времени"", хоть и без Мастера. А позже возник и сам Мастер, который хотел продолжить устраивать неприятности, но силам ЮНИТ успешно удалось схватить его и снова посадить в тюрьму. ( ПРОЗА: Harvest of Time ) После того, как Доктор и Джо улетели на Пеладон, ( ТВ: Проклятие Пеладона ) Бригадир и ЮНИТ были атакованы людьми с параллельной фашистской Земли . Тогда Летбридж-Стюарт впервые нанял Барбару и Йена Честертонов, а также, с неохотой, Мастера, чтобы противостоять вторжению. ( ПРОЗА: Лицо врага ) Бригадир так никогда и не узнал, что на той параллельной Земле однажды существовала его альтернативная версия . ( ТВ: Инферно ) Несмотря на то, что Бригадир и Третий Доктор к тому времени уже стали близкими друзьями, официальная привязанность Доктора к ЮНИТ начала уменьшаться в геометрической прогрессии, когда Повелители времени закончили его ссылку и вернули ему знания о путешествиях во времени. ( ТВ: Три Доктора ) После того, как Джо Грант покинула ЮНИТ для того, чтобы выйти замуж, Доктор потерял ещё одну нить, связывавшую его с организацией. ( ТВ: Зелёная смерть ) Некоторое время спустя Бригадир и Доктор встретили Сару Джейн Смит , журналистку, которая де факто стала новой ассистенткой Доктора. ( ТВ: Воин времени ) Исследуя новый тематический парк, открытый корпорацией Паракон, Доктор убедил Бригадира попробовать новый Опытный модулятор реальности и выяснил, что устройство манипулирует своим владельцем. Трэган и Фритц, лидеры корпорации, раскрывшие себя как пришельцы, похитили Сару Джейн и улетели на своей ракете, замаскированной под декорацию в парке. Доктор, Бригадир и Джереми Фитцоливер погнались за ними в ТАРДИС и приземлились на планете Паракон. ( АУДИО: Смертельный рай ) Весной в Лондоне начали появляться динозавры, и Алистер вместе с силами ЮНИТ столкнулись с различными их видами. ( АУДИО: Военный совет ) Скоро стало ясно, что капитан Йейтс работал с людьми, которые были связаны с появлением динозавров. Это была группа учёных и политиков, называвших себя "" Операция «Золотой век» "", которые хотели вернуть человечество обратно в доисторические времена и начать историю заново. В какой-то момент Бригадир был отстранён от командования генералом Финчем , одним из заговорщиков, но, вернув контроль над силами ЮНИТа и с помощью Доктора, который с успехом мешал продвижению операции «Золотой век», Летбридж-Стюарт организовал капитану Йейтсу ""длительный больничный и возможность тихо уйти в отставку"". ( ТВ: Вторжение динозавров ) В 1974 году ремораксианцы, пришельцы, которые хотели захватить Землю и затопить её, чтобы сделать своей колонией, атаковали Бригадира и захватили его тело. Когда по всему миру начались дожди, он начал вести себя странно, давая приказы о переназначении войск ЮНИТа ""наобум, непредсказуемо"". Лиз, которая вернулась в ЮНИТ для расследования наводнения, сообщила Доктору и Саре об этом и попросила их о помощи. Когда же Бригадир потребовал, чтобы Лондонский Тауэр был запечатан и затоплен, Лиз окончательно убедилась в том, что тот непригоден к службе, и вместе с Доктором осмотрела Летбридж-Стюарта. Доктор нашёл внутри Бригадира ремораксианца и построил де-реморатор, чтобы извлечь пришельца. После того, как Алистер снова стал собой, он, Доктор, Сара и Лиз отправились на ближайшую морскую базу ЮНИТ вместе с агентом Полом из ФБР. Сара и Бригадир стали свидетелями регенерации Третьего Доктора в Четвёртого после противостояния восьминогим на Метабилисе III . ( ТВ: Планета пауков ) Хотя свежерегенерировавший Доктор жаждал поскорее покинуть Землю и отправиться в приключения, он всё же помог ЮНИТу победить робота К-1 перед тем, как улететь в ТАРДИС вместе с Сарой Джейн Смит и лейтенантом Гарри Салливаном . ( ТВ: Робот ) Не желая бросать Бригадира, Доктор оставил ему пространственно-временной телеграф , чтобы Алистер смог связаться с ним в случае опасности. ( ТВ: Месть киберлюдей ) Тем не менее, Доктор был открыто возмущён, когда узнал, что Летбридж-Стюарт вызвал его затем, чтобы расследовать дело об уничтожениях нефтяных вышек, которые он считал крайне тривиальными. После победы над зайгонами , которые стояли за атаками на эти вышки, Доктор и Сара снова улетели в ТАРДИС, что положило конец совместным приключениям Бригадира и Доктора на некоторое время. ( ТВ: Террор зайгонов ) Во время второй попытки краалов захватить Землю Бригадир был в Канаде , расследуя живые электроэнергетические опоры. ( АУДИО: Осейдонское приключение ) Незадолго до того, как Летбридж-Стюарт покинул ЮНИТ, его назначили Командиром Британской империи. ( HOMEVID: Downtime ) Летбридж-Стюарт покинул ЮНИТ и армию, уйдя на пенсию. Он устроился на работу учителем математики в муниципальную школу Брендон. В 1977 году Бригадир видел и даже дотронулся до руки себя из 1983 года. Разница во времени устроила короткое замыкание и вызвало разряд энергии. Алистер упал без сознания и провёл следующие 6 лет в состоянии частичной амнезии. Бригадир помогает Саре Джейн Смит ( ТВ: Враг Бэйнов ) "
https://tardis.fandom.com/ru/wiki/%D0%92%D0%B8%D0%BA%D0%B8_%D0%9F%D0%B0%D0%BB%D0%BB%D0%B8%D1%81%D1%82%D0%B5%D1%80,"
					Вики Паллистер				","Крессида, Виктор",Человек,Земля,"Вики Паллистер Vicki Pallister Прозвища: Крессида, Виктор Раса: Человек Планета: Земля Семья: Отец: Ньютон Паллистер Появления Первое: ТВ: Спасение (1965) Последнее: АУДИО: Big Finish (2019) Прощание с Доктором: ТВ: Создатели мифов (1965) Появления: список Актёр: Морин О'Брайен Видео Вики Паллистер — девушка, которая встретила Первого Доктора и его спутников на планете Дайдо после крушения космического корабля, на котором она летела с Земли вместе со своим отцом, и гибели всего экипажа в ходе предательства Беннетта . Она согласилась стать спутницей Доктора, и много путешествовала с ним, сблизившись с ним, так как она напоминала ему о внучке . ( ТВ: Спасение ) Среди её друзей-спутников Доктора были Йен Честертон , Барбара Райт и Стивен Тейлор . После приключения во время Троянской войны, когда Вики вынуждена была выдавать себя за жрицу Крессиду перед правителем Трои, она решила остаться с Троилом - троянским воином, которого она полюбила. Она помогла Доктору доставить в ТАРДИС раненого Стивена, приказав служанке Катарине сопровождать их. ( ТВ: Создатели мифов ) После этого, Вики встретилась с Восьмым Доктором , когда он путешествовал с Шарлоттой Поллард и Уильямом Шекспиром . Во время этой встречи она решила, что они с Троилом поселятся в Древней Британии. ( ПРОЗА: Апокриф двуногого ) "
