URL,Name,Doctor,Companions,Author,Director,Producer,Data,Content
https://tardis.fandom.com/ru/wiki/%D0%9F%D0%B8%D0%BB%D0%BE%D1%82%D0%BD%D1%8B%D0%B9_%D1%8D%D0%BF%D0%B8%D0%B7%D0%BE%D0%B4,"
					Пилотный эпизод				",Первый Доктор,Сьюзан,Энтони Кобурн,Варис Хуссейн,Верити Ламберт,26 августа 1991 ,"Пилотный эпизод Неземное дитя / An Unearthly Child Доктор Кто : первая версия переснятого первого эпизода Доктор: Первый Доктор Спутники: Сьюзан , Йен , Барбара Место: Земля - Англия - Лондон - Школа Коал Хилл и свалка на Тоттерс Лейн - 1963 ТАРДИС Доктора Производственная информация Автор: Энтони Кобурн Режиссёр: Варис Хуссейн Продюсер: Верити Ламберт Дата выхода: 26 августа 1991 (снято в 1963) Формат: 25-минутный эпизод Отрывок Доктор Кто Следующее → Неземное дитя Неземное дитя , иногда называемое «Пилотным эпизодом» — оригинальный вариант 1 эпизода серии « Неземное дитя » , который было решено переснять из-за большого количества продукционных ошибок. Термин «пилотный эпизод» не является точным, потому что пилоты не существовали в британской телевизионной индустрии 1960-х. Условно его называют «самым первым эпизодом Доктора Кто», подразумевая отличие от самой серии . Впервые этот эпизод вышел в 1991 году на кассете «Годы Хартнелла». За прошедшие годы публике было представлено пять вариантов попыток закончить этот эпизод. Все они незначительно отличаются от итогового варианта, однако основываясь на изменениях сценария, можно сделать вывод о том, какую именно историю планировали для Доктора создатели и каким писали его персонажа. Сравнить разные версии зрителям удалось в 2006 году, когда обе версии были выпущены на одном DVD-диске. "
https://tardis.fandom.com/ru/wiki/%D0%9D%D0%B5%D0%B7%D0%B5%D0%BC%D0%BD%D0%BE%D0%B5_%D0%B4%D0%B8%D1%82%D1%8F,"
					Неземное дитя				",Первый Доктор,Сьюзан,Энтони Кобурн,Варис Хуссейн,Верити Ламберт,23 ноября - 14 декабря 1963,"Неземное дитя An Unearthly Child Доктор Кто : 1 сезон 1 серия Доктор: Первый Доктор Спутники: Сьюзан , Йен , Барбара Враги: Пещерные люди Место: Земля - Англия - Лондон - Школа Коал Хилл и свалка на Тоттерс Лейн - 1963 ТАРДИС Доктора Земля - 100 000 до н.э. Производственная информация Автор: Энтони Кобурн Режиссёр: Варис Хуссейн Продюсер: Верити Ламберт Номер: 1 Дата выхода: 23 ноября - 14 декабря 1963 Формат: 4 эпизода по 25 мин. Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Пилотный эпизод Далеки Неземное дитя — 1 серия 1 сезона сериала « Доктор Кто », состоящая из 4 эпизодов, показанных в период с 23 ноября по 14 декабря 1963 года . Здесь были представлены такие основные элементы сериала как Доктор (сыгранный Уильямом Хартнеллом ) и его машина для перемещений в пространстве и времени - ТАРДИС . Хронологически это первая история, в которой ТАРДИС застревает в форме полицейской будки, что Доктор отмечает во 2 эпизоде. Также впервые появились другие главные герои сезона, спутники Доктора - его внучка Сьюзан Форман и её школьные учителя Барбара Райт и Йен Честертон , которых Доктору пришлось «похитить» на своей машине времени, чтобы они никому не выдали её секрет. Действие 1 эпизода полностью происходит в Лондоне 1963 года, в то время как 2-4 эпизоды рассказывают историю о первом совместном приключении Доктора, Сьюзан, Барбары и Йена, когда они приземляются на доисторической Земле. В финальном эпизоде также раскрывается, что Доктор не умеет полноценно пилотировать ТАРДИС, а значит не может вернуть учителей домой, и не знает где и когда в следующий раз приземлится корабль. Любопытствуя о необычной ученице Сьюзан Форман , два школьных учителя следуют за ней к её дому на свалке металлолома. Это ведёт к столкновению с загадочным Доктором и его полицейской будкой, которая оказывается машиной, способной передвигаться во времени и пространстве. Опасаясь, что учителя раскроют его секрет, Доктор отправляется назад во времени вместе с ними. Они прибывают в 100 000 год до н. э. и сталкиваются с группой пещерных людей, отчаянно пытающихся разжечь огонь. Похищенные и запертые в пещере, полной черепов невольные путешественники должны работать вместе для создания огня и для того, чтобы ускользнуть от их тюремщиков. В туманную лондонскую ночь, полицейский совершает свой обход, проходя мимо свалки металлолома Ай. М. Формана по адресу Тоттерс Лейн, 76. На свалке стоит неуместно выглядящая полицейская будка, от которой исходит жуткое гудение. Учителя замечают Доктора Вот и заканчивается ещё один учебный день в школе «Коал Хилл». Учитель истории Барбара Райт и учитель химии Йен Честертон сравнивают свои замечания о загадочной ученице Сьюзан Форман . Её знание истории и химии превосходит знания самих учителей, однако у неё имеются любопытные пробелы о современной культуре (она забывает, к примеру, что Англия ещё не приняла к тому времени десятичную систему денежного обращения). Барбара ранее спрашивала Сьюзан о возможности дополнительного домашнего обучения, но Сьюзан отказалась, ссылаясь на то, что её дедушка , с которым она живёт, не любит незнакомцев. Барбара говорит Йену, что она получила адрес Сьюзан у школьного секретаря и последовала ему, но в итоге нашла не дом, а старую свалку металлолома. Йен предлагает Сьюзан подвезти её до дома, но та вежливо отказывается. Йен и Барбара решают проследить за ней до её дома. Заходя на свалку металлолома той ночью, Йен и Барбара тщетно ищут Сьюзан. Йен прикован к месту присутствием будки вызова полиции, которая гудит так, как-будто она живая. Услышав, что кто-то приближается, они прячутся. Старик подходит к полицейской будке и открывает её, и затем учителя слышат голос Сьюзан, приветствующий его. Они сталкиваются со стариком лицом к лицу, который очень резко принимает их и отказывается признать, что внутри кто-то есть. Снова слыша её голос, Йен и Барбара проталкиваются мимо старика в будку и поражены тем, что оказались в намного большем помещении с футуристическими электронными панелями и центральной шестиугольной контрольной панелью. Сьюзан шокирована тем, что её учителя здесь, а старик, её дедушка, взбешён их вторжением. Это иллюзия, это должно быть иллюзией! То есть вы утверждаете, что полицейская будка, которая стоит на свалке, может перемещаться сквозь пространство и время? Да это смешно! Сьюзан, Йен и Барбара выходят из ТАРДИС Сьюзан и её дедушка, который называет себя просто Доктором, объясняют, что полицейская будка - это маскировка для их корабля, передвигающегося в пространстве-времени, ТАРДИС , и что они беженцы с их родной планеты и родного времени. Несмотря на протесты Сьюзан, Доктор подготавливается к отбытию и похищению Йена и Барбары, желая таким образом защитить себя и свою внучку. Внезапное отбытие оставляет всех четырёх пассажиров без сознания. ТАРДИС материализуется посреди бесплодного, каменного ландшафта. Зловещая тень падает на него. ТАРДИС отправилась назад в каменный век. Йен и Барбара винят Доктора в том, что тот похитил их. У них также имеются трудности в том, чтобы поверить в то, что они действительно вернулись назад в прошлое, но факт того, что они не находятся больше на свалке металлолома, и того, каким оказывается общество, с которым они сталкиваются позже, убеждают их, что они действительно переместили в далёкое прошлое. Доктор также обеспокоен тем, что внешний вид ТАРДИС не изменился, когда корабль приземлился. Сьюзан объясняет, что ТАРДИС должна менять свой внешний облик, чтобы гармонировать с тем, что её окружает, но по какой-то причине она осталась в виде будки вызова полиции. Пещерные люди считают, что Доктор добывает огонь из пальцев Вскоре они оказываются вовлечены в борьбу за власть одного племени, в котором лидер За был высмеян за неспособность разжечь огонь, что его отец и предыдущий лидер мог делать. Кал , человек из другого племени, только увеличивает напряжение, когда предлагает себя как лидера, который умеет разжигать огонь. Его доказательство - Доктор, которого он видел пытающимся разжечь свою трубку, но тот потерял свои спички и не может помочь. В наказание всех четверых путешественников во времени заключают в отвратительную Пещеру Черепов, содержащую останки казнённых людей и жертвоприношений, и им обещают похожую судьбу, если те откажутся сотрудничать. Йен и Барбара обрабатывают раны За Они освобождены Старой Матерью , наивной вдовой предыдущего лидера племени, которая верит, что те могут разжечь огонь, но не хочет, чтобы они делали это, потому что она считает это плохим знаком. Четверо путешественников бегут в лес, преследуемые За и его женой Хур . Когда За и Хур догоняют их, лидера племени атакует дикий зверь и первый оказывается серьёзно ранен. Доктор настолько отчаянно желает покинуть это время, что даже рассматривает убийство пещерного человека, но Йен останавливает его. Они строят самодельные носилки, чтобы помочь донести За назад к поселению, надеясь, что этим самым докажут свои добрые намерения. Однако, во время их отсутствия Кал убил Старую Мать и обвинил в этом За. Кал принимает управление племенем и отправляет часть членов племени в погоню за незнакомцами, захватывая путешественников как только те достигли ТАРДИС. Эпизод 4 Четверо путешественников вернулись в лагерь, но Доктор убеждает племя, что Кал убил Старую Мать и ведёт их в атаку, которая гонит Кала в лес. Выздоровевший За теперь вновь признанный лидер, но вместо освобождения путешественников, как ожидал Доктор, тот приказывает им вернуться в Пещеру Черепов, в этот раз, вместе с телом Старой Матери. Йен способен разжечь огонь для За, используя трение, чтобы получить искру, в надежде, что такой дар убедит обитателей пещер освободить их. В то время как За пристально за ними наблюдает, а путешественники пытаются объяснить ему, что «в их племени создатели огня - наименее важные люди», их атакует Кал, пытающийся отомстить. За убивает Кала, тем самым ещё раз доказывая своё лидерство над племенем. С огнём в его распоряжении он теперь неоспоримый лидер. За постановляет, что путешественники сольются с его племенем, а не покинут его и приказывает им оставаться в Пещере на неопределённое врем. Доктор и его спутники пытаются разжечь огонь Сьюзан в итоге разрабатывает план, как напугать и отвлечь людей племени, чтобы те дали им сбежать. Путешественники расположили четыре черепа на головки горящих факелов и это дьявольское видение достаточно, чтобы отвлечь племя и дать возможность им сбежать обратно в лес. В этот раз четверо путешественников успевают вернуться в ТАРДИС до того, как их настигнут члены племени, и, как-только все оказываются внутри, корабль снова дематериализуется. Доктор объясняет, что он не имеет ни малейшего понятия где или когда они окажутся в следующий раз. Через некоторое время экран для визуального наблюдения показывает их новое место пребывания - загадочные джунгли, деревья которых выглядят окаменелыми. Путешественники выходят через двери ТАРДИС, а позади них, на контрольной панели, игла детектора радиационного излучения переходит в область «Опасно»… Эта серия вышла как « Доктор Кто: Неземное дитя » на отдельном DVD в 2006 году. Даты выхода: Эта история была выпущена как « Доктор Кто: Неземное Дитя » на бокс-сете под названием « Начало » вместе с историями « Далеки » и « Грань уничтожения ». Эта серия выходила в формате VHS дважды - в 1990 и 2000 году. Специально для этого релиза серия была восстановлена в лучшем качестве. Написанная Терренсом Дикксом книга « Доктор Кто и неземное дитя » была выпущена издательством Target Books 15 октября 1981 года, и стоила £1.25. Было опубликовано 30 000 копий с обложкой Эндрю Скиллетера . Это была первая книга, выпущенная после 6-месячного перерыва из-за удара Гильдии Писателей, и в библиотеке « Доктора Кто » от Target Books ей был дан номер 68. "
https://tardis.fandom.com/ru/wiki/%D0%94%D0%B0%D0%BB%D0%B5%D0%BA%D0%B8_(%D0%A2%D0%92_%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F),"
					Далеки (ТВ история)				",Первый Доктор,Сьюзан,Терри Нейшн,Кристофер Барри,Верити Ламберт,21 декабря 1963 -,"Далеки The Daleks Доктор Кто : 1 сезон 2 серия Доктор: Первый Доктор Спутники: Сьюзан , Йен , Барбара Участвуют: Талы Враги: Далеки Место: Скаро ТАРДИС Доктора Производственная информация Автор: Терри Нейшн Режиссёр: Кристофер Барри (1,2,4,5) Ричард Мартин (3,6,7) Продюсер: Верити Ламберт Номер: 2 Дата выхода: 21 декабря 1963 - 1 февраля 1964 Формат: 7 эпизодов по 25 мин. Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Неземное дитя Грань уничтожения Далеки — 2 серия 1 сезона сериала « Доктор Кто », состоящая из семи эпизодов, показанных в период с 21 декабря 1963 по 1 февраля 1964 года. В этой серии впервые появляются далеки , сразу же ставшие популярнейшими злодеями телесериала, о чём говорили подскочившие рейтинги. Сюжет развивается на мёртвой планете Скаро , куда героев случайно забросила ТАРДИС сразу же после приключения с пещерными людьми . Серия « Далеки » стала значительно успешнее самой первой, и именно она позволила « Доктору Кто » продолжать своё существование, что иронично, учитывая нежелание Сидни Ньюмана вводить в сериал монстров. Также серия способствовала финансовому успеху сценариста Терри Нейшна , который множество раз вернётся в сериал и будет пытаться использовать образ своих далеков вне « Доктора Кто ». Именно эта серия породила первые спин-офф материалы по сериалу, как и его «расширенную вселенную» в целом - с 1964 года начали выпускаться комиксы и рассказы о далеках, начиная от их создания и ранней истории (что в итоге будет противоречить самому сериалу ), заканчивая вторжением в Солнечную систему (тема, которую поднимут и в самом сериале во 2 сезоне ). Доктор , Сьюзан Форман , Йен Честертон и Барбара Райт летят домой в 1963 год на ТАРДИС . Однако из-за неполадок с кораблём, герои приземляются совершенно на другую планету — Скаро. Доктор решает, что любой ценой исследует эту неизвестную планету. Датчик радиации в ТАРДИС поначалу показывает нормальный уровень, однако вскоре он показывает «Опасно», но герои этого уже не замечают… Доктор со спутниками прибывают на неизвестную им планету . Они быстро выходят из ТАРДИС, не замечая, что датчик радиации показывает «опасность». За пределами корабля, путешественники обнаруживают, что все деревья на планете окаменели, а животные из металла. Доктор изучает одно из металлических созданий и приходит к выводу, что когда-то оно было живым. После этого путешественники замечают некий город вдалеке. Доктор намеревается исследовать город, но его спутники против — они хотят поскорее убраться с жуткой планеты. Когда все идут обратно в ТАРДИС, Сьюзан отстаёт от остальных, и тут она чувствует, как кто-то касается её плеча. Сьюзан с ужасом бежит обратно в ТАРДИС и рассказывает о случившемся остальным, но ей никто не верит. Вдруг, путешественники слышат стук в дверь корабля, но на сканере всё чисто. После этого, Йен и Барбара уговаривают Доктора побыстрее уехать отсюда, и тут он решает блефовать. Доктор говорит остальным, что запас ртути в ТАРДИС закончился, а без неё им не материализоваться. Единственное место где, возможно, есть ртуть — город за лесом. Таким образом, Доктор добивается одобрения на исследование города. Выходя из ТАРДИС, путешественники обнаруживают около неё флаконы со странной жидкостью. Они предполагают, что это оставило то существо, которое стучалось в дверь. Придя в город, путешественники договариваются встретится через час и расходятся. Когда Доктор, Йен и Сьюзан встречаются в назначенном месте, они обнаруживают, что Барбары нет. Сама же Барбара заблудилась - она следует по длинным коридорам и пытается отыскать выход. Двери за ней постоянно закрываются сами собой. Когда она понимает, что оказалась в ловушке, сзади неё появляется далек . Доктор, Йен и Сьюзан решают найти Барбару. Они заходят в одну из комнат, в которой оказывается очень много разных научных приборов. В комнате Доктор обнаруживает счётчик Гейгера, который показывает большой уровень радиации на планете. Путешественники с ужасом понимают, что всё это время находились под воздействием радиации. После этого Доктор признаётся, что ртуть им не нужна, и что он специально придумал это для исследования города. Он отдаёт флакончик с ртутью Йену. Доктор утверждает, что находиться здесь опасно, и им надо немедленно вернуться в ТАРДИС. Но Йен настаивает на том, чтобы найти Барбару. Открыв дверь, путешественники оказываются окружёнными далеками . Йен пытается бежать, но один из далеков парализует ему ногу. Существа требуют, чтобы путешественники шли за ними и выполняли все приказания — их отводят в тюремный отсек, где уже находится Барбара. Далеки решают допросить Доктора и приводят его в Комнату Управления. Они объясняют, что воевали с другим народом — талами . Во время войны, они взорвали нейтронную бомбу, что привело к мутации обеих рас. После этого далеки ушли в подземный металлический город, а за его пределами остались талы, которые, по мнению далеков, ужасно мутировали. Доктор убеждает далеков в том, что путешественники заражены радиацией, и что им нужно лекарство. далеки разрешают одному из пленников пойти в ТАРДИС и принести лекарства, хотя между собой договариваются о том, чтобы забрать лекарство себе и попробовать вылечить свою мутацию. Тем временем путешественники решают кто из них пойдёт за лекарством - Доктор и Барбара слишком слабы от лучевой болезни, а у Йена парализована нога. Плюс ко всему, он не сможет открыть ТАРДИС из-за замка, который автоматический блокируется, если неправильно повернуть ключ. Поэтому за лекарством отправляется Сьюзан. Дойдя до ТАРДИС, Сьюзан находит колбы с лекарством и заставляет себя идти обратно, поскольку знает, что судьбы её близких зависят от её одной. Вне ТАРДИС Сьюзан встречает тала Алидона . Однако он не мутировал, как это представляли себе далеки, а остался похож на человека. Алидон удивлён, что далеки еще живы. Его народ считал, что они погибли после нейтронной войны. Алидон утверждает, что далекам нельзя доверять и даёт Сьюзан ещё один комплект лекарств. Сьюзан возвращается в город и говорит далекам, что талы хотят мира. Далеки соглашаются с этим, но на самом деле они готовят план мести. Сьюзан пишет содержание мирного договора под диктовку далеков и ставит свою подпись, как они договорились с Алидоном. В это время Доктор со спутниками принимают лекарства и оправляются от лучевой болезни. Они начинают придумывать план, и Доктор понимает, что далеки передвигаются благодаря металлическому полу. В комнату заходит далек. Путешественники берут грязь с ботинок Сьюзан и залепляют ей глаз далека. Потом они кладут на пол плащ, который Алидон дал Сьюзан. Далек растерян, он начинает двигаться и наезжает на него. Плащ не является проводником, далек больше не касается металлического пола и его механическая часть выходит из строя. Доктор и Йен просят Сьюзан и Барбару выйти и проследить за выходом, на самом же деле они попросили выйти женщин, чтобы они не увидели содержимое металлической оболочки далека. Доктор с Йеном вынимают живое существо из оболочки и Йен забирается внутрь корпуса далека. Далеки гонятся за Доктором и спутниками. Им удаётся сбежать от врагов на лифте. Путешественники смотрят в окно и видят талов, которые пришли к городу, что бы примириться с далеками. Путники кричат им, что это засада, но талы не слышат их. Путешественники спускаются на улицу, что бы предупредить талов. В это время далеки окружают их и убивают лидера. Оставшиеся талы и Доктор со спутниками уходят в лагерь талов. Там, одна из талов — Диони , рассказывает Доктору об истории планеты. Когда-то далеки назывались каледами и были похожи на талов, но после нейтронной войны они мутировали. Йен уговаривает талов бороться с каледами, но Доктор предлагает им уйти. Но ко всеобщему ужасу путники узнают, что не могут. Далеки забрали флакончик с ртутью у Йена при обыске, и он остался в городе. Талы решаются помочь путешественникам в поисках ртути. Путники делятся на две группы: Йен и Барбара пойдут в обход, через болота заселённые мутантами, а Доктор и Сьюзан пойдут напрямик к городу и будут выступать в качестве приманки. В это время далеки начинают вымирать от принятого ими лекарства. Они понимают, что приспособились к радиации и решают увеличить её кол-во на Скаро, взорвав ещё одну нейтронную бомбу. В это время Йен, Барбара с талами останавливаются у болота. Они слышат, как Элион — один из талов начинает кричать. Все прибегают на место и видят ужасную картину: болотный монстр тянет Элиона на дно. Элион мёртв, но путникам надо продолжать идти. В это время Верховному далеку сообщают, что подготовка нейтронной бомбы займёт 23 дня. Это слишком долго и далеки решают взорвать свои ядерные реакторы. Доктор и Сьюзан разрушают некоторые компьютеры далеков. Но тут поднимается тревога и далеки окружают путников и берут в плен. Йен, Барбара и талы идут через пещеры. Перед ними встаёт огромная пропасть, которую надо перепрыгнуть. Путники преодолевают пропасть, но один из талов срывается и падает вниз. Далеки приводят Доктора и Сьюзан в комнату управления. В это время к городу подходит группа Йена и Барбары и они решают освободить Доктора. Вместе они разрушают источники питания далеков и предотвращают взрыв. Далеки становятся неподвижными и вскоре умирают. Доктор, Йен, Барбара и Сьюзан возвращаются в лагерь талов вместе с ртутью. Талы благодарят путников и они прощаются. ТАРДИС дематериализуется, но тут консоль корабля взрывается и путешественники падают на пол. Эта история была выпущена в формате DVD в 2006 году. Эта серия вышла в бокс-сете вместе с сериями « Неземное дитя » и « Грань уничтожения ». Содержание: "
https://tardis.fandom.com/ru/wiki/%D0%93%D1%80%D0%B0%D0%BD%D1%8C_%D1%83%D0%BD%D0%B8%D1%87%D1%82%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F,"
					Грань уничтожения				",Первый Доктор,Сьюзан,Дэвид Уитакер,Ричард Мартин,Верити Ламберт,8-15 февраля 1964,"Грань уничтожения The Edge of Destruction Доктор Кто : 1 сезон 3 серия Доктор: Первый Доктор Спутники: Сьюзан , Йен , Барбара Место: ТАРДИС Доктора , период образования Солнечной системы Производственная информация Автор: Дэвид Уитакер Режиссёр: Ричард Мартин (эпизод 1) Фрэнк Кокс (эпизод 2) Продюсер: Верити Ламберт Номер: 3 Дата выхода: 8-15 февраля 1964 Формат: 2 эпизода по 25 мин. Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Далеки Марко Поло Грань уничтожения — 3 серия 1 сезона сериала « Доктор Кто » , состоящая из двух эпизодов, которые были показаны в период с 8 по 15 февраля 1964 года. История уникальна тем, что действие сюжете полностью происходит внутри ТАРДИС . BBC изначально стремились выпускать серии из 4 эпизодов, однако планы поменялись в связи с выходом предыдущей 7-эпизодной истории . Общий план не должен был превысить 13 эпизодов, а было выпущено уже 11, так что « Грань уничтожения » решили разделить всего на 2 эпизода. Эта серия имела самый маленький бюджет из всех историй « Доктора Кто ». Так или иначе, серия является важнейшей для понимания механизмов работы ТАРДИС и отношений между главными героями. Именно здесь после конфликта Доктор, Сьюзан, Йен и Барбара становятся командой путешественников, которые готовы помочь друг другу. В серии подробнее объясняется тот факт, что Доктор не до конца разбирается в управлении машиной времени. Финальная сцена, когда путешественники во времени приземляются в Гималаях, является единственным сохранившимся до наших дней отснятым материалом следующей серии , все 7 эпизодов которой считаются утраченными . Внутри ТАРДИС происходит взрыв, после чего путешественники начинают вести себя очень странно. Начинают происходить необъяснимые события, в которых Доктор обвиняет Барбару и Йена, а Сьюзан на время лишается памяти. Лишь через некоторое время Доктор начинает осознавать опасности, нависшую над путешественниками из-за его небольшой ошибки и неисправности ТАРДИС… Двери ТАРДИС таинственным образом открываются В ТАРДИС происходит небольшой взрыв и путешественники на время теряют сознание. Барбара первая пришла в сознание и разбудила Йена и Сьюзан . Сьюзан уверена, что кто-то проник на корабль и повредил микросхемы ТАРДИС . Двери корабля начинают периодически открываться и закрываться. Когда Сьюзан подходит к панели управления и пытается закрыть их, её ударяет током. Доктор приходит в сознание, а Йен относит Сьюзан в спальню. Там она нападает на мужчину, угрожая ему ножницами, но не причиняет ему никакого вреда. Доктор проверяет микросхемы ТАРДИС , а Барбара идёт к Сьюзан, чтобы успокоить её. Там девочка нападает на Барбару, также как и на Йена . Доктор проверяет сканер, но на нём отображаются лишь фотографии старых путешествий. Все часы внутри ТАРДИС расплавились Сьюзан и Доктор начинают обвинять своих спутников в том, что они подстроили всё это, для того, чтобы вернуться в Лондон. Барбара начинает гневно отвергать это. Вскоре путешественники засыпают, а Доктор возвращается к панели управления. Но вдруг кто-то хватает его за горло и начинает душить. Атакующий Доктора оказывается Йеном . В этот момент в комнату входит Барбара . Они начинают обвинять Доктора в саботаже. Но тут звучит сигнал тревоги и дефектоскоп показывает повреждения в каждой системе. Доктор говорит, что ТАРДИС взорвётся, если путешественники не найдут причину тревоги. Путники забывают свои разногласия и пытаются найти неисправность. Доктор осознаёт, что именно произошло Доктор находит следы неисправности. Всему виной был возвратный выключатель, который Доктор использовал, что бы быстро вернуться в прошлое. Но корабль занесло слишком далеко в прошлое и путешественники были в начале создания Солнечной системы. То, что творилось снаружи могло уничтожить ТАРДИС и всё это время корабль просто предупреждал путников о неисправности. Доктор чинит ТАРДИС . Путешественники извиняются друг перед другом. Когда ТАРДИС материализуется в новом месте, они выходят наружу и обнаруживают в снегу гигантский след. Одноимённая новеллизация была выпущена 20 октября 1988 года издательством Target Books. Её автором являлся Найджел Робинсон , а проиллюстрировал книгу Алистер Пирсон . Она стала последней вышедшей новеллизацией историй первого сезона. На кассете эта история была выпущена в 2000 году в Великобритании, Австралии и США вместе с пилотным эпизодом . Это эпизод был выпущен отдельно на DVD в 2006 году. Эта серия была выпущена на бокс-сете «Начало» вместе с сериями « Неземное дитя » и « Далеки » . Содержание: "
