URL,Name,Content
https://tardis.fandom.com/ru/wiki/%D0%97%D0%BE%D0%B8_%D0%A5%D0%B5%D1%80%D0%B8%D0%BE%D1%82,"
					Зои Хериот				","Зои Хериот Zoe Heriot Раса: Человек Рождение: около 2069 Занятие: астрометрик и астрофизик персонал космической станции W3 Появления Первое: ТВ: Колесо в космосе (1968) Последнее: АУДИО: Big Finish Прощание с Доктором: ТВ: Военные игры (1969) Появления: список Актёр: Венди Падбери Видео Зои Хериот — девушка из 21 века, которая работала на космической станции W3 . Обладала гениальными познаниями. После нападения киберлюдей на космическую станцию, стала спутницей Второго Доктора ( ТВ: Колесо в космосе ) и путешествовала вместе с ним и Джейми МакКриммоном , шотландским горцем из 18 века, до того момента, как Повелители Времени перехватили ТАРДИС и сослали Доктора на Землю. Джейми и Зои были лишены воспоминаний о путешествиях с Доктором и отправлены назад в их собственное время. ( ТВ: Военные игры ) В будущем, она встретила Третьего Доктора и вспомнила свои путешествия по времени и пространству, однако снова лишилась их ( ПРОЗА: Совет разума ). После ещё одного столкновения с киберлюдьми, Зои, из-за своего интеллекта, была преобразована в кибер-планировщика , что позволило ей вспомнить о своих путешествиях с Доктором. Она смогла победить их и обратить кибер-преобразование. ( АУДИО: Легенда киберлюдей ) Со временем, Зои стала считать эти воспоминания некой формой психического расстройства, из-за чего часто обращалась к психотерапевтам ( АУДИО: Страх далеков ). Постепенно она начала понимать, что воспоминания реальны, и начался долгий процесс их восстановления. ( АУДИО: Обманы памяти , Принцип неопределённости , Второй шанс ) "
https://tardis.fandom.com/ru/wiki/%D0%98%D0%B7%D0%B7%D0%B8_%D0%A1%D0%B8%D0%BD%D0%BA%D0%BB%D0%B5%D1%80,"
					Иззи Синклер				","Иззи Синклер Izzy Sinclair Раса: Человек Планета: Земля Семья: Приёмные родители: Лэс , Сандра Появления Первое: КОМИКС: Эндшпиль Появления: см. список Актёр: Джемайма Рупер Изабель Синклер , более известная как Иззи Синклер — спутница Восьмого Доктора . Она была удочерена в раннем детстве и после открытия этого факта потратила несколько лет, не будучи уверенной, кто она на самом деле и кем хочет стать. В то время как ее детство было светлым и беззаботным, подростковый возраст привнес недоверие к авторитетным фигурам ее жизни. Иззи покинула Землю не предупредив ее приемных родителей, пытаясь сбежать от, как ей казалось, слишком ""земной"" жизни. ( КОМИКС: Славный мертвец ) Она наслаждалась путешествиями с Доктором, даже понимая, насколько это опасно. Тем не менее, ее живость и доверчивость однажды привели к трагическим последствиям. ( КОМИКС: Офидиус ) Иззи родилась 12 октября 1979 ( КОМИКС: TV Action! ) и была оставлена своими биологическими родителями  на автобусной остановке спустя несколько часов после рождения. ( КОМИКС: Славный мертвец ) Позднее ее удочерили Лэс и Сандра Синклер ( КОМИКС: Эндшпиль ) В восемь лет ей рассказали, что ее удочерили. Правда ранила Иззи и она начала сочинять истории о том, что она потерянная инопланетная принцесса и однажды ее неземные родители найдут ее. ( КОМИКС: Славный мертвец ) Так как ее родословная была неизвестна, с тех пор она начала звать себя Иззи К (от ""Иззи Кто-то""). ( КОМИКС: Эндшпиль ) следует добавить следует добавить Иззи пережил вторжение киберлюдей на Землю в 2005 году ( КОМИКС: Потоп ) К декабрю 2008 года Иззи отправился путешествовать по миру. Она нашла в Кабуле «нечто удивительное». ( КОМИКС: Ребенок из Стокбриджа ) В какой-то момент она начала работать на Médecins Sans Frontières: сделав ее путешествующим доктором. В 2016 году она собиралась вернуться в Стокбридж на шестидесятилетие Макса, когда Двенадцатый Доктор попросил ее помочь в уничтожении Джозайи В. Догболтера. Иззи нанесла Догболтеру нокаутирующий удар и наблюдала, как его арестовали в свое время, прежде чем отправиться на ТАРДИС в Рог изобилия на вечеринку по случаю дня рождения Макса. Там она догнала Дестрии. Когда Доктор спросил, помирилась ли она со своими родителями, она засмеялась, что ей сейчас тридцать шесть и этот вопрос был решен много лет назад. ( КОМИКС: Столкновение в Стокбридже ) Иззи выросла на просмотре научной фантастики по телевизору и чтении книг разных  авторов, таких как Иэн М. Бэнкс и Г.Ф. Лавкрафт. Ей казалось, что она готова путешествовать с Доктором. Однако Изззи обнаружила, что ошибалась, и что реальная жизнь была намного фантастичней и ужаснее, чем вымысел. Во время и после похищения Доктора Мастером Иззи пришлось справиться с угрюмым Кротоном и бороться с неудавшимся сопротивлением захватчиков Пепельного Призрака. ( КОМИКС: Славные мертвецы ) Иззи часто смотрела « Звёздный путь : Следующие поколение » на видеокассете, прежде чем путешествовать с Доктором. ( АУДИО: История Иззи ) В ее спальне на борту ТАРДИС Доктора висел плакат с изображением Дарта Вейдера. ( КОМИКС: Beautiful Freak ) Она была атеисткой. ( ПРОЗА: Синтаксис ) После обмена телами с Дестри растущая самоуверенность Иззи сначала пошатнулась, а затем укрепилась, когда она смирилась с изменением и успешным возвращением в свое тело. Окончательным осознанием этого роста стало то, что она смогла сказать Доктору, что готова пойти домой и поцеловать Фей, приняв ее собственную сексуальность. ( КОМИКС: Офидиус, Обливион ) "
https://tardis.fandom.com/ru/wiki/%D0%94%D0%B6%D0%B5%D1%80%D0%B5%D0%BC%D0%B0%D0%B9%D1%8F_%D0%9A%D1%8D%D1%82%D1%82%D0%BB%D0%B2%D0%B5%D0%BB%D0%BB,"
					Джеремайя Кэттлвелл				","Джеремайя Кэттлвелл Jeremiah Kettlewell Раса: Человек Планета: Земля Появления ТВ: Робот (1974) ПРОЗА: Кто убил Кеннеди (1996) Актёр: Эдвард Бёрнхэм Профессор Джеремайя Кэттлвелл ( ПРОЗА: Доктор Кто и гигантский робот ), которого иногда звали просто Джей Пи Кэттлвелл ( ТВ: Робот ) — человек , учёный, член Общества научных реформ. Специализацией Кэттлвелла была робототехника. В ноябре 1969 года Джеймс Стивенс брал у него интервью для газеты ""Daily Chronicle"". Стивенс думал, что люди считают профессора Джеремайю безумным учёным, так как он выглядел соответствующе. Однако, он считал, что Кэттлвелл ""блестящий оратор, стоит ему справиться со своей нервозностью."" ( ПРОЗА: Кто убил Кеннеди ) Тобиас Вон являлся спонсором исследований профессора в робототехнике. ( ПРОЗА: Первородный грех ) Кеттлвелл создал робота под названием ""Экспериментальный Прототип: Робот К1 ."" Некоторое время профессор работал с Национальным институтом перспективных научных исследований, но в какой-то момент он отвернулся от традиционной науки и стал работать  в институте альтернативной энергетики. Там он взял в помощники Хильду Винтерс , чтобы сделать К1 более мощным. Однако, позже он передумал и был убит из дизентегратора, который держал в руках робот К1. ( ТВ: Робот ) Кэттлвелл не подавал патенты на ЦПУ робота К1, которое было смоделировано с человеческого мозга, а также на живой металл, из которого робот был создан, до своей смерти. Его прямыми потомками в 27 веке были писатель и историк Этан Калвелл и его дочь Элиза. ( АУДИО: Реликвии Джегг-Сау ) "
https://tardis.fandom.com/ru/wiki/%D0%97%D0%BE%D0%B8_%D0%A5%D0%B5%D1%80%D0%B8%D0%BE%D1%82_-_%D1%81%D0%BF%D0%B8%D1%81%D0%BE%D0%BA_%D0%BF%D0%BE%D1%8F%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B9,"
					Зои Хериот - список появлений				",Ниже представлен список появлений Зои Хериот . 
https://tardis.fandom.com/ru/wiki/%D0%9F%D0%BB%D0%BE%D1%81%D0%BA%D0%BE%D1%81%D1%82%D1%8C,"
					Плоскость				","Плоскость Flatline Доктор Кто : 8 сезон 9 серия Доктор: Двенадцатый Доктор Спутники: Клара Освальд Участвуют: Ригси Враги: Бесхребетные Камео: Дэнни Пинк , Мисси Место: Земля - Англия : Бристоль , Лондон и ТАРДИС Доктора - 2010-е Производственная информация Автор: Джейми Мэтисон Режиссёр: Дуглас Маккиннон Продюсер: Никки Уилсон Номер: 250 Дата выхода: 18 октября 2014 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Мумия в Восточном Экспрессе В ночном лесу Плоскость — 9 эпизод 8 сезона возобновлённого сериала « Доктор Кто », премьера которого состоялась 18 октября 2014 года. Серия рассказывает о противостоянии Докторы и Клары с загадочными существами из двумерного пространства , которые могут манипулировать измерениями. Главную роль в сюжете на себя берёт Клара, так как Доктор оказывается заперт внутри уменьшенной ТАРДИС. Здесь впервые появляется Ригси , который в будущем вернётся в серии « Узри ворона » (2015). Продолжается сюжетная арка взаимоотношений Клары с Дэнни, которому она врёт о том, что перестала путешествовать с Доктором . В заключительной сцене, как и на протяжении всего 8 сезона, появлятся Мисси , личность которой раскроется в финале сезона . Отделившись от Доктора , Клара обнаруживает новую угрозу из другого измерения. Но как спрятаться, если даже стены не защищают? Люди ожидают спасения, Доктор в ловушке, а Клара сталкивается с врагом, который существует за пределами человеческого восприятия. Специальное появление : Доктор ошибается с местом приземления, когда возвращает Клару домой, в результате чего они появляются в Бристоле, а не в Лондоне. Путешественники обнаруживают, что внешний вид ТАРДИС уменьшился, и мощность машины времени сокращается. Доктор остаётся в уменьшенном варианте ТАРДИС, чтобы понять что происходит, не без помощи его спутницы. Клара узнаёт, что в городе пропадают жители, и появляются загадочные граффити в подземном переходе. Клара возвращается к Доктору, и видит, что внешний вид ТАРДИС уменьшился ещё больше. Через миниатюрные двери Доктор даёт Кларе психобумагу, звуковую отвёртку и аудио-зрительный наушник, чтобы он мог поддерживать связь с ней. Также он просит носить его ТАРДИС в сумке, чтобы он смог отследить большой источник энергии. Клара называет себя Доктор Освальд, тем самым получая доверие местного художника-граффитиста Ригси, который работает на общественных работах. Вместе со своим новым компаньоном Клара отправляется в квартиру, где жил последний исчезнувший. Они не находят там ничего загадочного, кроме граффити пустыни на стене. Ригси приглашает констебля, чтобы получить разрешение на осмотр первой квартиры, где пропал человек. Доктор предполагает, что пропавшие люди находятся в стенах. По указаниям Доктора Клара и Ригси начинают разрушать стены. В то время когда они работают, констебль Форрест втягивается в пол, вне поля зрения Клары и Ригси. Когда они прибегают на крик, констебль уже исчезла. Они осматривают комнату и находят другой незнакомый рисунок-граффити, и Доктор понимает, что скорее всего это нервная система констебля Форрест, а в первой квартире они видели не пустыню, а человеческую кожу. Неизвестные существа начинают двигаться по направлению к Кларе и Ригси. Доктор быстро объясняет, что эти существа двумерные, и что они ставят эксперименты на 3D объектах. Когда Клара и Ригси спасаются от 2D существ, которые находятся в стенах, Кларе звонит Дэнни Пинк, её удалось избежать вопросов о её местонахождении, и она быстро вешает трубку. Доктор, который слушал это, понимает, что Клара лгала ему о том, что Дэнни не был против её дальнейших путешествий в ТАРДИС. Клара и Ригси возвращаются к другим участникам общественных работ, которые собираются закрасить граффити в подземном переходе. Доктор понимает, что рисунки на стенах, это маскировка 2D существ. После существа съедают одного из работников. Клара и все остальные прячутся от существ в ремонтном складе, где Доктор помогает Кларе общаться с существами, используя математику. После того как существа забрали ещё одного работника, Клара и остальные бегут в заброшенный тоннель метро. Они выясняют, что существа могут превращать объекты из 2D в 3D. С помощью специального устройства, изобретённого Доктором, Клара выполняет обратную операцию по превращению объектов и спасается. Также Доктор говорит Кларе, что знает как вернуть существ в их родное измерение, но у него не хватит мощности. В хаосе ТАРДИС была сбита на активные железнодорожные пути, по которым мчится поезд. Клара советует Доктору попробовать переместить ТАРДИС с помощью руки, как в «Семейке Аддамс». У Доктора получается, что можно видеть по его короткому победному танцу. Тем не менее его победа не долга. ТАРДИС вновь падает на рельсы. Чтобы защитить ТАРДИС от приближающегося поезда, Доктор активирует «Режим Блокировки», без возможности вернуть его в нормальное состояние. С помощью звуковой отвёртки Клара останавливает поезд и пытается использовать его как таран, чтобы потянуть время и поговорить с
Доктором. Тем не менее, поезд просто превращается в огромный рисунок на стене, за пару секунд как Ригси и Клара успели выпрыгнуть из него. По дороге они находят ТАРДИС, которая теперь выглядит как простой куб с галлифрейскими символами. Клара и остальные отсиживаются в заброшенном офисе, где она придумывает как дать энергию ТАРДИС. Клара просит Ригси нарисовать фальшивый рисунок двери на обратной стороне огромного листа бумаги и приклеить его на стену. Когда существа пытаются превратить ручку дверь из 2D в 3D, Клара посылает всю энергию в ТАРДИС, что привело к восстановлению нормального вида космического корабля. Доктор использует звуковую отвёртку и отправляет Бесхребетных (так он прозвал этих существ) в своё измерение. Поднявшись на землю, Клара говорит, что ей понравилось быть Доктором . Она просит признать Доктора, что она хорошо справилась. Он неохотно признаёт, что она была «исключительным Доктором» , но «в этом нет ничего хорошего» . Когда Клара смотрит, как Доктор входит в ТАРДИС, Мисси сидит в тёмной комнате, наблюдая за Кларой в планшете. Мисси говорит «Клара! Не зря я выбрала тебя» . "
https://tardis.fandom.com/ru/wiki/%D0%93%D0%BE%D1%80%D0%BD%D0%B8%D0%BB%D0%BE_%D0%B4%D1%83%D1%88_(%D0%B0%D1%83%D0%B4%D0%B8%D0%BE_%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F),"
					Горнило душ (аудио история)				","Горнило душ The Crucible of Souls Роковая коалиция : 12 история Доктор: Восьмой Доктор Спутники: Лив Ченка , Хелен Синклер , Ривер Сонг Участвуют: Веклин , Повелители Времени Враги: Падрак , Девять Место: Галлифрей ТАРДИС Доктора Производственная информация Издатель: Big Finish Productions Автор: Джон Дорни Режиссёр: Кен Бентли Продюсер: Дэвид Ричардсон Композитор: Джейми Робертсон Номер: 3.4 Дата выхода: 22 сентября 2016 Формат: 60-минутная пьеса Роковая коалиция ← Предыдущее Следующее → Хронометр Судного дня Корабль в бутылке Горнило душ — 4 и финальная аудиопьеса 3 сезона аудиосериала « Роковая коалиция » от компании Big Finish Productions с участием Восьмого Доктора , Лив Ченки и Хелен Синклер . Как и в прошлых двух историях, здесь было показано их приключение при участии Ривер Сонг , во время которого они противостоят Одиннадцать и Падраку . Здесь также произошло возвращение Бет Челмерс к роли Веклин , которую она раньше играла в аудиосериала « Военный Доктор ». Дата назначена. Ловушка подготовлена. Жизнь прервалась, и маньяк вырвался на свободу. Команда ТАРДИС разделена, и обе её части в большой беде. Неужели в этот день победа достанется плохим парням? Спойлеры… Страница бокс сета третьего сезона на сайте Big Finish "
https://tardis.fandom.com/ru/wiki/%D0%97%D1%8D%D0%B9%D0%B2_%D0%AD%D1%88%D1%82%D0%BE%D0%BD,"
					Зэйв Эштон				","Зэйв Эштон Zawe Ashton Рождение: 21 июля 1984 Роль: Джорни Блю Работа: Актриса Карьера Другие работы: Misfits (2010) Dreams of a Life (2011) Без компромиссов (2011) Преступления прошлого (2011-13) Свежее мясо (2011-16) Под покровом ночи (2016) Бархатная бензопила (2019) Зэйв Эштон (родилась 21 июля 1984) — британская актриса, исполнившая роль Джорни Блю в серии « Внутрь далека » (2014) 8 сезона возобновлённого « Доктора Кто ». Эштон примечательна своей ролью Салли Донован в пилотном эпизоде сериала « Шерлок », а также появлениями в фильмах и сериалах « Game-On » (1995), « Чисто английское убийство » (2000; 2008), « Holby City » (2003), « Mobile » (2007), « Катастрофа » (2009), « Одноклассницы и тайна пиратского золота » (2009), « Lapland » (2011), « Промоутеры » (2011), « Not Safe for Work » (2015), « Оазис » (2017), « Герилья » (2017), « Жажда странствий » (2018) и др. "
https://tardis.fandom.com/ru/wiki/%D0%97%D0%BE%D0%B8_%D0%A5%D0%B5%D1%80%D0%B8%D0%BE%D1%82,"
					Зои Хериот				","Зои Хериот Zoe Heriot Раса: Человек Рождение: около 2069 Занятие: астрометрик и астрофизик персонал космической станции W3 Появления Первое: ТВ: Колесо в космосе (1968) Последнее: АУДИО: Big Finish Прощание с Доктором: ТВ: Военные игры (1969) Появления: список Актёр: Венди Падбери Видео Зои Хериот — девушка из 21 века, которая работала на космической станции W3 . Обладала гениальными познаниями. После нападения киберлюдей на космическую станцию, стала спутницей Второго Доктора ( ТВ: Колесо в космосе ) и путешествовала вместе с ним и Джейми МакКриммоном , шотландским горцем из 18 века, до того момента, как Повелители Времени перехватили ТАРДИС и сослали Доктора на Землю. Джейми и Зои были лишены воспоминаний о путешествиях с Доктором и отправлены назад в их собственное время. ( ТВ: Военные игры ) В будущем, она встретила Третьего Доктора и вспомнила свои путешествия по времени и пространству, однако снова лишилась их ( ПРОЗА: Совет разума ). После ещё одного столкновения с киберлюдьми, Зои, из-за своего интеллекта, была преобразована в кибер-планировщика , что позволило ей вспомнить о своих путешествиях с Доктором. Она смогла победить их и обратить кибер-преобразование. ( АУДИО: Легенда киберлюдей ) Со временем, Зои стала считать эти воспоминания некой формой психического расстройства, из-за чего часто обращалась к психотерапевтам ( АУДИО: Страх далеков ). Постепенно она начала понимать, что воспоминания реальны, и начался долгий процесс их восстановления. ( АУДИО: Обманы памяти , Принцип неопределённости , Второй шанс ) "
https://tardis.fandom.com/ru/wiki/%D0%98%D0%BC%D0%BF%D0%B5%D1%80%D0%B0%D1%82%D1%80%D0%B8%D1%86%D0%B0_%D0%A0%D0%B0%D0%BA%D0%BD%D0%BE%D1%81%D1%81,"
					Императрица Ракносс				","Императрица Ракносс Empress of the Racnoss Раса: Ракносс Гибель: 2007 Появления ТВ: Сбежавшая невеста (2006) Актёр: Сара Пэриш Императрица Ракносс — лидер пауко-подобной расы ракносс. Императрица встретилась с Десятым Доктором в Рождество 2007 года, в тайном месте под Барьером Темзы . Она пыталась пробудить свою давно погибшую расу, которую называла своими детьми, с помощью энергии хьюонских крупиц , содержащихся в Донне Ноубл стараниями её жениха, Ланса Беннетта . Ланс изначально был очарован императрицей; но, когда Донна и Доктор сбежали от неё в ТАРДИС , императрица решила использовать Ланса вместо Донны. Она насильно напоила его водой с хьюонскими частицами и сбросила его в центр Земли, где находился корабль ракносс. Пробудившиеся благодаря хьюонским частицам ракносс съели Ланса. Её планы по возрождению ракносс были сорваны Доктором. После того как робоформам не удалось одолеть Доктора, он использовал бомбы, замаскированные под новогодние шарики и пустил их в трубы, позволив водам Темзы затопить комнату. Императрица была окружена огнем, а пробуждающиеся ракносс были затоплены. Императрица телепортировала себя на свой Webstar и поклялась отомстить Доктору и всей планете Земля . Однако недостаток энергии Хюона остановил её корабль, и британская армия уничтожила его вместе с Императрицей. Приказ уничтожить Webstar исходил от самого Гарольда Саксона . ( ТВ: Сбежавшая невеста ) В параллельном мире , в котором Доктор не встретил Донну, Императрица все также была побеждена, однако при этом Доктор погиб. ( ТВ: Поверни налево ) "
https://tardis.fandom.com/ru/wiki/%D0%98%D0%B4%D1%80%D0%B8%D1%81,"
					Идрис				","Живая... Я живая... Привет, Доктор. Я очень рада встретиться с тобой. Идрис Idris Раса: Неизвестный гуманоид Планета: Неизвестно Появления ТВ: Жена Доктора (2011) Актёр: Сюранна Джоунс Видео Идрис — девушка, которая жила в Пузырьковой вселенной. В её тело была перемещена матрица ТАРДИС . В Пузырьковой вселенной на планете-свалке живут Дядюшка и Тётушка . Их поддерживает некий « Дом ». Он заманивает Повелителей Времени, съедает их ТАРДИС, а пилотов убивает. Дядюшка и Тетушка сделаны из частей тела Повелителей Времени. А планета представляет собой свалку ТАРДИС разных моделей. Однажды Доктор получает сообщение от своего давнего друга - Повелителя Времени Корсара . Это была ловушка. Как только ТАРДИС Доктора приземляется, из нее выкачивают матрицу. Корабль полностью отключается. Матрицу помещают в безумную девушку Идрис. Дом проникает в ТАРДИС и улетает на ней из Пузырьковой вселенной, в надежде, что не все ТАРДИС во Идрис прощается с Доктором Вселенной уничтожены. Идрис и Доктор строят ТАРДИС из разных моделей и взлетают. Идрис помогает Эми и Рори попасть в главную комнату управления. Затем, Доктор и Идрис оказываются на борту. Идрис уничтожает «Дом» и занимает место матрицы. ( ТВ: Жена Доктора ) Идрис-ТАРДИС перед смертью сказала Рори: « Единственная вода в лесу - это река ». Это была подсказка на тайну происхождения Ривер Сонг , ведь «Понд» (пруд, то есть водоём) переводится с языка Лесов Гаммы, как «Ривер» (река). И Ривер Сонг позже подтвердила: « У них нет слова ""Понд"", означающего - пруд. В лесу одна вода - река, ""Ривер""… » ( ТВ: Хороший человек идёт на войну ) "
